general.model_name,additional_features.pointer_device,processor_and_memory_features.dedicated_graphic_memory_capacity,processor_and_memory_features.dedicated_graphic_memory_type,additional_features.antivirus,display_and_audio_features.internal_mic,port_and_slot_features.usb_port,port_and_slot_features.firewire_port,display_and_audio_features.brightness,processor_and_memory_features.ssd,display_and_audio_features.certification,url,processor_and_memory_features.chipset,port_and_slot_features.hardware_interface,display_and_audio_features.screen_size,dimensions.dimensions,processor_and_memory_features.clock_speed,additional_features.disk_drive,operating_system.system_architecture,additional_features.finger_print_sensor,port_and_slot_features.multi_card_slot,display_and_audio_features.refresh_rate,general.battery_backup,additional_features.additional_features,processor_and_memory_features.cache,general.sales_package,warranty.international_warranty,processor_and_memory_features.memory_slots,additional_features.read/write_speed,port_and_slot_features.hdmi_port,general.inbuilt_4g_lte,processor_and_memory_features.processor_variant,general.series,timestamp,processor_and_memory_features.hdd_capacity,general.part_number,processor_and_memory_features.emmc_storage_capacity,additional_features.recovery_options,processor_and_memory_features.optane_memory,general.tgp,additional_features.security_chip,processor_and_memory_features.ssd_capacity,additional_features.laptop_bag,operating_system.os_architecture,additional_features.included_software,connectivity_features.wireless_lan,processor_and_memory_features.graphic_processor,processor_and_memory_features.rpm,display_and_audio_features.touchscreen,display_and_audio_features.screen_resolution,dimensions.weight,general.ms_office_provided,processor_and_memory_features.processor_name,connectivity_features.bluetooth,price,processor_and_memory_features.expandable_ssd_capacity,port_and_slot_features.mic_in,general.stylus_included,warranty.warranty_summary,connectivity_features.ethernet,review_count,port_and_slot_features.vga_port,warranty.not_covered_in_warranty,rating_average,general.type,operating_system.operating_system,product_title,connectivity_features.nfc_support,processor_and_memory_features.ram_frequency,connectivity_features.wireless_wan,processor_and_memory_features.ram,processor_and_memory_features.storage_type,warranty.warranty_service_type,display_and_audio_features.speakers,warranty.domestic_warranty,processor_and_memory_features.processor_brand,additional_features.keyboard,warranty.covered_in_warranty,display_and_audio_features.screen_type,additional_features.face_recognition,display_and_audio_features.sound_chip,port_and_slot_features.dock_port,processor_and_memory_features.number_of_cores,in_stock,processor_and_memory_features.expandable_memory,operating_system.supported_operating_system,processor_and_memory_features.ufs_storage_capacity,display_and_audio_features.color_gamut,port_and_slot_features.rj11,display_and_audio_features.sound_properties,general.battery_cell,port_and_slot_features.s-video,general.suitable_for,additional_features.other_accessories,processor_and_memory_features.ram_type,general.model_number,general.color,port_and_slot_features.rj45,additional_features.lock_port,additional_features.backlit_keyboard,processor_and_memory_features.processor_generation,general.power_supply,additional_features.web_camera
K3605ZC-MBN543WS,,4 GB,GDDR6,,Yes,"1 x USB 3.2 Gen 1 Type-C support power delivery, 2 x USB 3.2 Gen 1 Type-A",,,Yes,,https://www.flipkart.com/asus-vivobook-16x-creator-intel-core-i5-12th-gen-12500h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-k3605zc-mbn543ws-gaming-laptop/p/itm739e07ec40ae0?pid=COMGSUZBJQZGGCJZ&lid=LSTCOMGSUZBJQZGGCJZDULU1R&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_14_315&otracker=browse&fm=organic&iid=db8b225d-8835-481c-b656-4fca9d3e1682.COMGSUZBJQZGGCJZ.SEARCH&ppt=None&ppn=None&ssid=c7ecmgo9vk0000001730660289805,,,40.64 cm (16 inch),358.6 x 249.1 x 18.9 mm,2.5 GHz with Max Turbo Boost Frequency Up to 4.50 GHz,Not Available,,,,,,,,"Laptop, Power Adaptor, User Guide, Warranty Documents",,,,,,12500H,"Vivobook 16X for Creator,",2024-11-04 16:46:43,,90NB11F1-M00CT0,,,,,,512 GB,,,,Wi-Fi 6E(802.11ax) (Dual band) 2*2,NVIDIA GeForce RTX 3050,,No,1920 X 1200 Pixel,1.8 Kg,Yes,Core i5,v5.3,"₹59,990",,,,1 Year Onsite Warranty,,267 Ratings & 11 Reviews,,Physical Damage,4.3,Gaming Laptop,Windows 11 Home,"ASUS Vivobook 16X for Creator, Intel Core i5 12th Gen 12500H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050) K3605ZC-MBN543WS Gaming Laptop  (16 inch, Indie Black, 1.8 Kg, With MS Office)",,,,16 GB,SSD,Onsite,Yes,,Intel,Backlit Chiclet Keyboard with Num-key,Manufacturing Defects,"WUXGA, 16:10 aspect ratio, LED Backlit, IPS-level Panel, 60Hz refresh rate, 300nits, 45% NTSC color gamut, Anti-glare display",,,,,Yes,,,,,,,3 cell,,Gaming,,DDR4,K3605ZC-MBN543WS,Indie Black,,,Yes,12th Gen,,720p HD camera
Modern 14 C12M-671IN,,,,,Yes,"1 x Type-C USB3.2 Gen2 with PD charging, 1 x Type-A USB3.2 Gen2, 2 x Type-A USB2.0",,,Yes,,https://www.flipkart.com/msi-modern-14-intel-core-i7-12th-gen-1255u-16-gb-512-gb-ssd-windows-11-home-c12m-671in-c12mo-1019in-thin-light-laptop/p/itm85617574e27de?pid=COMGPXFYGNH5MJZW&lid=LSTCOMGPXFYGNH5MJZWEV9H9T&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_14_316&otracker=browse&fm=organic&iid=db8b225d-8835-481c-b656-4fca9d3e1682.COMGPXFYGNH5MJZW.SEARCH&ppt=None&ppn=None&ssid=c7ecmgo9vk0000001730660289805,,,35.56 cm (14 Inch),319.9 x 223 x 19.35 mm,Base frequency 1.2 GHz upto Max Turbo Frequency 4.7 GHz,Not Available,,,,60 Hz,,,,"Laptop, power adapter, user guide",,,,1 x HDMI (4K @ 30Hz),,1255U,Modern 14,2024-11-04 16:46:46,,9S7-14J111-671 / 9S7-14J111-1019,,,,,,512 GB,,,,AMD RZ616 Wi-Fi 6E,Intel Integrated Iris Xe,,No,1920 x 1080 Pixel,1.4 Kg,No,Core i7,v5.3,"₹49,990",,,,1 Year Onsite Warranty,,116 Ratings & 17 Reviews,,"Physical Damage, Burn, Liquid Spill",4.2,Thin and Light Laptop,Windows 11 Home,"MSI Modern 14 Intel Core i7 12th Gen 1255U - (16 GB/512 GB SSD/Windows 11 Home) Modern 14 C12M-671IN / Modern 14 C12MO-1019IN Thin and Light Laptop  (14 Inch, Urban Silver, 1.4 Kg)",,,,16 GB,SSD,Onsite,2 x 2W,,Intel,Single Backlit Keyboard (White),Part Failure,"Full HD, 60Hz 45%NTSC IPS-Level",,,,,Yes,,,,,,,3 Cell,,"Processing & Multitasking, Entertainment",,DDR4,Modern 14 C12M-671IN / Modern 14 C12MO-1019IN,Urban Silver,,,Yes,12th Gen,,HD type (30fps@720p)
S3402ZA-KM501WS,,,,,Built in array microphone,"1x USB 2.0 Type-A, 1x USB 3.2 Gen 1 Type-A, 2x Thunderbolt 4 supports display, power delivery",,,Yes,,https://www.flipkart.com/asus-vivobook-s14-oled-intel-evo-h-series-core-i5-12th-gen-12500h-16-gb-512-gb-ssd-windows-11-home-s3402za-km501ws-thin-light-laptop/p/itm635eb6df61d1c?pid=COMGCG2GXUAAMYJF&lid=LSTCOMGCG2GXUAAMYJFOJKKYY&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_14_317&otracker=browse&fm=organic&iid=en_aHlDhO7OR2W-2LfsdY5zIwJ3qktMawliZvzdkBqNnPmDnnmHeteyvT7_EvLEQ9_5a-gR24cMj8STGHW9Vj_vYk4IsYyWu-Pj9cxFjFAoaLk%3D&ppt=None&ppn=None&ssid=c7ecmgo9vk0000001730660289805,,NVMe PCIe,35.56 cm (14 Inch),316.4 x 224.5 x 18.9 mm,4.5,Not Available,64,Yes,,,,"70WHrs, 3S1P, Li-ion Battery",18,"Laptop, Battery, Power Adaptor, User Guide, Warranty Documents",,1,,1x HDMI 2.0b,,12500H,Vivobook S14 OLED Intel EVO H-Series,2024-11-04 16:46:50,,90NB0WE1-M007U0 | 90NB0WE1-M00S20,,,,,,512 GB,,64 bit,,Wi-Fi 6E(802.11ax),Intel Integrated Iris Xe Graphics,,No,2880 x 1800 Pixels,1.50 Kg,Yes,Core i5,v5.2,"₹61,990",NA,Yes,,1 Year Onsite Warranty,,"4,489 Ratings & 431 Reviews",,Physical Damage,4.4,Thin and Light Laptop,Windows 11 Home,"ASUS Vivobook S14 OLED Intel EVO H-Series Intel Core i5 12th Gen 12500H - (16 GB/512 GB SSD/Windows 11 Home) S3402ZA-KM501WS Thin and Light Laptop  (14 Inch, Neutral Grey, 1.50 Kg, With MS Office)",,,,16 GB,SSD,Onsite,Built in speaker,1 Year,Intel,Backlit Chiclet Keyboard,Manufacturing Defects,"OLED, (Peak brightness 600 Nits, 100% DCI-P3 color gamut)",,,,8,Yes,NA,Windows 11 Home,,,,,3,,Processing & Multitasking,,DDR4,S3402ZA-KM501WS,Neutral Grey,,,Yes,12th Gen,90W AC Adapter,"720p HD camera, with privacy shutter"
S3402ZA-LY522WS,,,,,Yes,"1 x USB 2.0 Type-A, 1 x USB 3.2 Gen 1 Type-A, 2 x Thunderbolt 4 supports display / power delivery",,,Yes,,https://www.flipkart.com/asus-vivobook-s-14-intel-evo-h-series-core-i5-12th-gen-12500h-8-gb-512-gb-ssd-windows-11-home-s3402za-ly522ws-thin-light-laptop/p/itm3158ed9290840?pid=COMGNY4VWHZKRSHT&lid=LSTCOMGNY4VWHZKRSHTLHINGA&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_14_318&otracker=browse&fm=organic&iid=en_aHlDhO7OR2W-2LfsdY5zIwJ3qktMawliZvzdkBqNnPnCCMMR7PSercLck9HaRMm99Wy-xiq_iFsaDu41TzXmfYQEIsITtCzc4bHaOMTqL08%3D&ppt=None&ppn=None&ssid=c7ecmgo9vk0000001730660289805,,,35.56 cm (14 inch),,2.5 GHz with Max Turbo Boost Frequency Up to 4.50 GHz,Not Available,,Yes,,,,,,"Laptop, battery, power adapter, user guide",,,,1 x HDMI 2.1,,12500H,Vivobook S 14 Intel EVO H-Series,2024-11-04 16:46:53,,90NB0WE2-M00P60,,,,,,512 GB,,,,Wi-Fi 6E(802.11ax) (Dual band) 2*2,Intel Integrated Iris Xe,,No,1920 x 1200 Pixel,1.50 Kg,No,Core i5,v5.0,"₹62,990",NA,,,1 Year Onsite Warranty,,"2,140 Ratings & 205 Reviews",,Physical Damage,4.3,Thin and Light Laptop,Windows 11 Home,"ASUS Vivobook S 14 Intel EVO H-Series Intel Core i5 12th Gen 12500H - (8 GB/512 GB SSD/Windows 11 Home) S3402ZA-LY522WS Thin and Light Laptop  (14 inch, Indie Black, 1.50 Kg)",,,,8 GB,SSD,Onsite,Built-in Speakers,1 Year,Intel,Backlit Chiclet Keyboard,Manufacturing Defects,"FHD+ (1920 x 1200, WUXGA) 16:10 aspect ratio, LED Backlit LCD, IPS-level Panel, Anti-glare display, 300nits Brightness, 85�% Screen-to-body ratio",,,,,Yes,12,,,,,,3 cell,,Processing & Multitasking,,DDR4,S3402ZA-LY522WS,Indie Black,,,Yes,12th Gen,,720p HD camera With privacy shutter
Modern 15 B12MO,,,,,,"1 x Type-C (USB3.2 Gen2 / DP) with PD charging, 3 x Type-A USB3.2 Gen2",,,Yes,,https://www.flipkart.com/msi-modern-15-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-b12mo-business-laptop/p/itm9d582749d003c?pid=COMHYWTJHENNCRGX&lid=LSTCOMHYWTJHENNCRGXEJC0WA&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_14_319&otracker=browse&fm=organic&iid=db8b225d-8835-481c-b656-4fca9d3e1682.COMHYWTJHENNCRGX.SEARCH&ppt=None&ppn=None&ssid=c7ecmgo9vk0000001730660289805,,,39.62 cm (15.6 inch),361 x 241 x 19.9 mm,0.9 GHz upto Max Turbo Frequency 4.4 GHz,Not Available,,No,,,,,,"Laptop,Battery,Power Adapter, User Guide",,2,,1x HDMI (4K @ 30Hz),,1215U,Modern 15,2024-11-04 16:46:56,,9S7-15H112-1008,,,,,,512 GB,,,,802.11 ax Wi-Fi 6E,Intel Integrated UHD,,No,1920 x 1080 Pixel,1.7 Kg,Yes,Core i3,v5.2,"₹32,990",,,,1 Year Warranty Term,,57 Ratings & 4 Reviews,,"Physical Damage, Burn, Liquid Spill",4,Business Laptop,Windows 11 Home,"MSI Modern 15 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) Modern 15 B12MO Business Laptop  (15.6 inch, Classic Black, 1.7 Kg, With MS Office)",,3200 MHz,,8 GB,SSD,Carry-in,2x 2W Speaker,,Intel,Single backlight Keyboard(White),Manufacturing Defects,"Full HD , 60Hz 45%NTSC IPS-Level",,,,,Yes,,,,,,,3 cell,,Travel & Business,,DDR4,Modern 15 B12MO,Classic Black,No,,Yes,12th Gen,65 W,HD type (30fps@720p)
XS 22-HD55016512B-G-IND,,4 GB,GDDR6,,Monaural microphone,"1 x USB 3.2 Gen 1, 1 x USB 2.0, Type C, 2 × USB 3.2 Gen 2",,,Yes,,https://www.flipkart.com/colorful-xs-series-intel-core-i5-12th-gen-12500h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-22-hd55016512b-g-ind-gaming-laptop/p/itm5b8eef5313e13?pid=COMH2HHJFGBR4D2T&lid=LSTCOMH2HHJFGBR4D2TRCAZ1T&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_14_320&otracker=browse&fm=organic&iid=db8b225d-8835-481c-b656-4fca9d3e1682.COMH2HHJFGBR4D2T.SEARCH&ppt=None&ppn=None&ssid=c7ecmgo9vk0000001730660289805,,,39.62 cm (15.6 Inch),359.5x238x22.7mm,2.5 Ghz. Turbo Upto 4.5 Ghz.,Not Available,,No,,,Up to 3 hours,,,"Laptop, Warranty Card, Certificate of Conformity, Instruction manual, Silicon Thermal Pad",,,,1 x HDMI,,12500H,XS Series,2024-11-04 16:46:59,,A10205400009,,,,,,512 GB,,,,Wireless 802.11 a/b/g,NVIDIA GeForce RTX 3050,,No,1920 x 1080 Pixel,1.99 Kg,No,Core i5,v5.2,"₹57,990",,,,2 Year Carry-in Warranty,,48 Ratings & 9 Reviews,,Physical Damage,4.6,Gaming Laptop,Windows 11 Home,"Colorful XS Series Intel Core i5 12th Gen 12500H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 3050) XS 22-HD55016512B-G-IND Gaming Laptop  (15.6 Inch, Grey, 1.99 Kg)",,,,16 GB,SSD,Carry-in,High Deginition Speaker,,Intel,Illuminated Keyboard,Manufacturing Defects,Full HD LCD Display,,,,,Yes,,,,,,,4 cell,,Gaming,,DDR4,XS 22-HD55016512B-G-IND,Grey,,,,12th Gen,,1.0 Megapixel
A325-42,,,,,Yes,"3 x USB ports, 2 x Type-C port",,,Yes,,https://www.flipkart.com/acer-aspire-3-amd-ryzen-quad-core-7330u-8-gb-512-gb-ssd-windows-11-home-a325-42-thin-light-laptop/p/itmdaf15e01a1d1a?pid=COMH397X2KJ8XCHR&lid=LSTCOMH397X2KJ8XCHRBDEAS1&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_14_321&otracker=browse&fm=organic&iid=en_aHlDhO7OR2W-2LfsdY5zIwJ3qktMawliZvzdkBqNnPm2ZHcXRP0nKARS1nJhZZ-i8wS9K62CJMIjsQvqKgXpGPUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=c7ecmgo9vk0000001730660289805,,,39.62 cm (15.6 Inch),360.8 x 253.33 x 19.3 mm,Up to 4.3 GHz,Not Available,,,,,,,,"Laptop, Power Adaptor, User Guide, Warranty Documents",,,,,,7330U,Aspire 3,2024-11-04 16:47:03,,UN.34QSI.006,,,,,,512 GB,,,,Wifi 6,AMD Radeon AMD,,No,1920 x 1080 Pixel,1.79 Kg,No,Ryzen 3 Quad Core,v5.1,"₹29,990",,,,1 Year Carry-in Warranty,,90 Ratings & 8 Reviews,,Physical Damage,4.1,Thin and Light Laptop,Windows 11 Home,"Acer Aspire 3 AMD Ryzen 3 Quad Core 7330U - (8 GB/512 GB SSD/Windows 11 Home) A325-42 Thin and Light Laptop  (15.6 Inch, Silver, 1.79 Kg)",,,,8 GB,SSD,Carry-in,Two built-in front facing stereo speakers,,AMD,99-/100-/103-key Acer keyboard layout with international language support including indicators of CapsLock and F4/Microphone mute,Manufacturing Defects,Full HD,,,,,Yes,,,,,,,,,Everyday Use,,DDR4,A325-42,Silver,,,,,,Full HD camera
15s-fy5003TU,,,,,Yes,"1 x USB Type-C 5Gbps signaling rate, 2 x USB Type-A 5Gbps signaling rate",,,Yes,,https://www.flipkart.com/hp-15s-intel-core-i3-12th-gen-1215u-8-gb-512-gb-ssd-windows-11-home-15s-fy5003tu-thin-light-laptop/p/itmbb21e864fb30c?pid=COMGZVGHE9QU8C6M&lid=LSTCOMGZVGHE9QU8C6MHJQTO4&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_14_322&otracker=browse&fm=organic&iid=en_aHlDhO7OR2W-2LfsdY5zIwJ3qktMawliZvzdkBqNnPmEL97Zqfy9URd_t0vU_J05mPxbJh9oxDF02GBMfRM3ZQ%3D%3D&ppt=None&ppn=None&ssid=c7ecmgo9vk0000001730660289805,,,100.58 cm (39.6 cm),,0.9 GHz upto max turbo frequency at 4.4 Ghz,Not Available,,,,,,,,"Laptop, battery, power adapter, user guide",,,,,,1215U,15s,2024-11-04 16:47:06,,7Q700PA#ACJ,,,,,,512 GB,,,,Realtek RTL8822CE 802.11a/b/g/n/ac (2x2),Intel Integrated UHD,,No,1920 x 1080 Pixel,1.69 Kg,Yes,Core i3,v5.0,"₹37,990",,,,1 Year Onsite Warranty,,"5,515 Ratings & 328 Reviews",,Physical Damage,4.3,Thin and Light Laptop,Windows 11 Home,"HP 15s Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) 15s-fy5003TU Thin and Light Laptop  (39.6 cm, Natural Silver, 1.69 Kg, With MS Office)",,,,8 GB,SSD,Onsite,Yes,,Intel,"Full-size, natural silver keyboard with numeric keypad",Manufacturing Defects,"Full HD, micro-edge, anti-glare, Brightness: 250 nits, 141 ppi, Color Gamut: 45%NTSC",,,,,Yes,,,,,,,3 Cell,,Processing & Multitasking,,DDR4,15s-fy5003TU,Natural Silver,,,No,12th Gen,,HP True Vision 720p HD camera
AL15G- 52,,6 GB,GDDR6,,Yes,"2 x USB 3.2 Type C port, 1 x USB 3.2 Type A port, 1 x USB 2.0 Type A port",,,Yes,,https://www.flipkart.com/acer-alg-intel-core-i5-12th-gen-12450h-16-gb-512-gb-ssd-windows-11-home-6-graphics-nvidia-geforce-rtx-3050-al15g-52-gaming-laptop/p/itm3d796e664c648?pid=COMH2TPSHDMYYGYA&lid=LSTCOMH2TPSHDMYYGYA0ZLIQK&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_14_323&otracker=browse&fm=organic&iid=db8b225d-8835-481c-b656-4fca9d3e1682.COMH2TPSHDMYYGYA.SEARCH&ppt=None&ppn=None&ssid=c7ecmgo9vk0000001730660289805,,,39.62 cm (15.6 Inch),359.5 x 238 x 22.7 mm,3.3 GHz upto max turbo frequency at 4.4 Ghz,Not Available,,,,,,,,"Laptop, Power Adaptor, User Guide, Warranty Documents",,,,,,12450H,ALG,2024-11-04 16:47:09,,UN.34CSI.004,,,,,,512 GB,,,,Wi-Fi 6,NVIDIA GeForce RTX 3050,,No,1920 x 1080 Pixel,1.99 Kg,No,Core i5,Yes,"₹59,900",,,,1 Year Onsite Warranty,,26 Ratings & 2 Reviews,,Physical Damage,4,Gaming Laptop,Windows 11 Home,"Acer ALG Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 3050) AL15G- 52 Gaming Laptop  (15.6 Inch, Steel Grey, 1.99 Kg)",,,,16 GB,SSD,Onsite,Yes,,Intel,Multi languages Multi-Color illuminated full size keyboard with numeric pad,Manufacturing Defects,Full HD,,,,,Yes,,,,,,,,,Processing & Multitasking,,DDR4,AL15G- 52,Steel Grey,,,,12th Gen,,1.0M HD Video camera
15-eh1137AU,,,DDR4,,,,,,Yes,,https://www.flipkart.com/hp-pavilion-amd-ryzen-5-dual-core-5500u-8-gb-512-gb-ssd-windows-11-home-15-eh1137au-thin-light-laptop/p/itme2327928ac401?pid=COMHY8KVSJHQUACX&lid=LSTCOMHY8KVSJHQUACXS7JBSJ&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_14_324&otracker=browse&fm=organic&iid=db8b225d-8835-481c-b656-4fca9d3e1682.COMHY8KVSJHQUACX.SEARCH&ppt=None&ppn=None&ssid=c7ecmgo9vk0000001730660289805,,,39.62 cm (15.6 inch),,,Not Available,,,,,Upto 8 Hours and 45 Minutes,,,"Laptop, Power Adaptor, User Guide, Warranty Documents",,,,,,5500U,Pavilion,2024-11-04 16:47:12,,A30YHPA,,,,,,512 GB,,,,,AMD Radeon AMD,,No,1920 x 1080 Pixels,,Yes,Ryzen 5 Dual Core,v5.0,"₹47,990",,,,1 Year Onsite Warranty,,"1,676 Ratings & 171 Reviews",,Physical Damage,4.5,Thin and Light Laptop,Windows 11 Home,"HP Pavilion AMD Ryzen 5 Dual Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15-eh1137AU Thin and Light Laptop  (15.6 inch, Natural Silver, With MS Office)",,,,8 GB,SSD,Onsite,,1 Year,AMD,,Manufacturing Damage,,,,,,Yes,,Windows 11,,,,,,,Everyday Use,,DDR4,15-eh1137AU,Natural Silver,,,,,,
255 G9,,,DDR4,,,,,250 Nits,Yes,,https://www.flipkart.com/hp-255-g9-amd-ryzen-5-hexa-core-ryzen5-5625u-8-gb-512-gb-ssd-dos-business-laptop/p/itm0ac9a280d9258?pid=COMGZKYZCW2XNPSX&lid=LSTCOMGZKYZCW2XNPSXTZH8GN&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_14_325&otracker=browse&fm=organic&iid=db8b225d-8835-481c-b656-4fca9d3e1682.COMGZKYZCW2XNPSX.SEARCH&ppt=None&ppn=None&ssid=c7ecmgo9vk0000001730660289805,,512GB PCIe® NVMe™ SSD,39.62 cm (15.6 inch),324 x 225 x 17.9 mm,2.1 GHz base clock,Not Available,,,,,3 hours,,4 MB L3 cache 4 Cores,"Laptop, Power Adaptor, User Guide, Warranty Documents",,,NA,,,AMD Ryzen5-5625U,255 G9,2024-11-04 16:47:15,,949J0PA,,,,,,512 GB,No,,DOS,,AMD Radeon,3200,No,1366 x 768 pixel,1.47 kg,No,Ryzen 5 Hexa Core,5.0,"₹31,490",,,,1 Year Onsite Warranty,,34 Ratings & 2 Reviews,,"Physical Damges , Mother Board Issues",4.2,Business Laptop,DOS,"HP 255 G9 AMD Ryzen 5 Hexa Core AMD Ryzen5-5625U - (8 GB/512 GB SSD/DOS) G9 Business Laptop  (15.6 inch, Natural Silver, 1.47 kg)",,,,8 GB,SSD,Visit HP Service Centre,,1 Year,AMD,,MANUFACTURING DEFECT,Screen size is 39.62 cm (15.6 inch) HD,,,,,Yes,,DOS INSTALL WINDOWS SEPARATELY,,45% NTSC,,,3 Cell,,"Entertainment, Travel & Business, Everyday Use",,DDR4,G9,Natural Silver,,,,,HP Smart 65 W EM External AC power adapter,
Thin 15 B13UCX-1806IN,,4 GB,GDDR6,,Yes,"1 x Type-C (USB3.2 Gen1 / DP), 3 x Type-A USB3.2 Gen1",,,Yes,,https://www.flipkart.com/msi-thin-15-intel-core-i7-13th-gen-13620h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-144-hz-b13ucx-1806in-gaming-laptop/p/itm70296a5ce8800?pid=COMGYSFGFES68YNZ&lid=LSTCOMGYSFGFES68YNZYSTZRL&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_14_326&otracker=browse&fm=organic&iid=db8b225d-8835-481c-b656-4fca9d3e1682.COMGYSFGFES68YNZ.SEARCH&ppt=None&ppn=None&ssid=c7ecmgo9vk0000001730660289805,,,39.62 cm (15.6 Inch),359 x 254 x 21.7 mm,1.8 GHz upto Max turbo frequency at 4.90 Ghz,Not Available,,,,144 Hz,,,,"Laptop,Battery,Power Adapter, User Guide",,,,1x HDMI (4K @ 30Hz),,13620H,Thin 15,2024-11-04 16:47:18,,9S7-16R831-1806,,,,,,512 GB,,,,802.11 ax Wi-Fi 6E,NVIDIA GeForce RTX 2050,,No,1920 x 1080 Pixel,1.86 Kg,No,Core i7,v5.3,"₹62,990",,,,2 Year Onsite Warranty,,5 Ratings & 0 Reviews,,"Physical Damage, Burn, Liquid Spill",5,Gaming Laptop,Windows 11 Home,"MSI Thin 15 Intel Core i7 13th Gen 13620H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 2050/144 Hz) Thin 15 B13UCX-1806IN Gaming Laptop  (15.6 Inch, Cosmos Gray, 1.86 Kg)",,,,16 GB,SSD,Onsite,Yes,,Intel,Blue Backlit Gaming Keyboard,Manufacturing Defects,"Full HD, 144Hz 45%NTSC IPS-Level",No,,,,Yes,,,,,,,,,Gaming,,DDR4,Thin 15 B13UCX-1806IN,Cosmos Gray,,,,13th Gen,,HD type (30fps@720p)
ThinkBook 16 G6,,,,,Dual array microphone,"1 x USB 3.2 Gen 1, 1 x USB 3.2 Gen 1 (Always On), 2 x USB-C 3.2 Gen 2 (support data transfer, Power Delivery 3.0 and DisplayPort 1.4)",,,Yes,,https://www.flipkart.com/lenovo-thinkbook-16-g6-intel-core-i3-13th-gen-1315u-8-gb-512-gb-ssd-windows-11-home-irl-5-thin-light-laptop/p/itmd7e1aca8d63e9?pid=COMGZGWUG25DHHWB&lid=LSTCOMGZGWUG25DHHWBIJL9SN&marketplace=FLIPKART&store=6bo%2Fb5g&srno=b_14_327&otracker=browse&fm=organic&iid=en_aHlDhO7OR2W-2LfsdY5zIwJ3qktMawliZvzdkBqNnPmVtXd37qmMm-BJCuYxK3T4z_8cF9HsOQSiLOd1Mkz5NvUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=c7ecmgo9vk0000001730660289805,,,40.64 cm (16 Inch),356 x 253.5 x 17.5 mm,1.2 GHz with Turbo Boost Upto 4.5 GHz,Not Available,,,,,Upto 9.15 Hours,,,"Laptop, User manual, Adapter",,,,1 x HDMI 2.1,,1315U,ThinkBook 16 G6,2024-11-04 16:47:22,,21KHA0J5IN,,,,,,512 GB,,,,"Wi-Fi 6, 802.11ax 2x2 Wi-Fi",Intel Integrated UHD,,No,1920 x 1200 Pixel,1.7 Kg,Yes,Core i3,v5.2,"₹37,990",,,,1 Year Onsite warranty,,150 Ratings & 17 Reviews,,Physical Damage,4.3,Thin and Light Laptop,Windows 11 Home,"Lenovo ThinkBook 16 G6 Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) ThinkBook 16 G6 IRL 5 Thin and Light Laptop  (16 Inch, Arctic Grey, 1.7 Kg, With MS Office)",,,,8 GB,SSD,Onsite,Built-in Speakers,,Intel,,Manufacturing Defects,WUXGA IPS Anti-glare Display,,,,,Yes,,,,,,,,,"Processing & Multitasking, Entertainment, Everyday Use, Learning, Performance, Travel & Business",,DDR5,ThinkBook 16 G6 IRL 5,Arctic Grey,,,,13th Gen,,"HD 720p, with privacy shutter, fixed focus"
