Brand,Laptop_Model_Name,Laptop_Model_Number,Processor_Brand,Processor_Model,Storage_Type,Operating_System,Display_Resolution,Extracted_Rating,Battery_Life(Hours_Upto),Price,Stock,Time_Of_Extraction,URL,Source,Storage_Capacity(GB),Display_Size(Inches),RAM(GB),No_Of_Reviews,Laptop_Dimensions,Laptop_Weight(Pounds),image_src
HP,14-dq0040nr,14-dq0040nr,Intel,Celeron N4020,eMMC,Windows 11 S,1366 x 768 Pixels,4.0,10.0,176.95,Yes,2024-12-05 12:17:06,https://www.amazon.com/HP-Micro-edge-Microsoft-14-dq0040nr-Snowflake/dp/B0947BJ67M/ref=sr_1_16?dib=eyJ2IjoiMSJ9.Mxv-LfaT1mRTkqi6GWEFXxFggO64cMc5a5WQAxAoDYKDc12AZYR8P_ulvGvs2fWDJ7_Nm3Q_vhpmjYCsv0OJPJs6Bo1FRX66cFxFfjDS5M6onhimzcAeCOZ3ganbR1ztxCB3tNO3H2yyijUubD6xTB3G5UxB2MqPQQaHrdLyLai29xSPy1hZkKf5Sm2MjOm9tSgk53w2mGq_T8vokhTRQYuN1uCwbBymaj5IEXp_6tzKZ-DZ8lOcjCmWHFWVn2fkST3y58q3_y3AxTbeKQumI-hyzZmMa7tonKGyaYVia00.eFMZpiqa4BbfF8ul13G1oFWFR-jOJGFy_-1DtQHxgmY&dib_tag=se&qid=1726997913&s=pc&sr=1-16,Amazon,64,14.0,4,940,12.76 x 8.86 x 0.71 inches,3.24,https://m.media-amazon.com/images/I/815uX7wkOZS.__AC_SX300_SY300_QL70_FMwebp_.jpg
HP,TPN-I139_320M3AV,TPN-I139_320M3AV,Intel,Core i3,SSD,Windows 11 Pro,1600 x 900 Pixels,4.2,,517.95,Yes,2024-12-05 12:17:14,https://www.amazon.com/HP-Business-Display-i3-1125G4-Processor/dp/B0C6NC4KRT/ref=sr_1_18?dib=eyJ2IjoiMSJ9.Mxv-LfaT1mRTkqi6GWEFXxFggO64cMc5a5WQAxAoDYKDc12AZYR8P_ulvGvs2fWDJ7_Nm3Q_vhpmjYCsv0OJPJs6Bo1FRX66cFxFfjDS5M6onhimzcAeCOZ3ganbR1ztxCB3tNO3H2yyijUubD6xTB3G5UxB2MqPQQaHrdLyLai29xSPy1hZkKf5Sm2MjOm9tSgk53w2mGq_T8vokhTRQYuN1uCwbBymaj5IEXp_6tzKZ-DZ8lOcjCmWHFWVn2fkST3y58q3_y3AxTbeKQumI-hyzZmMa7tonKGyaYVia00.eFMZpiqa4BbfF8ul13G1oFWFR-jOJGFy_-1DtQHxgmY&dib_tag=se&qid=1726997913&s=pc&sr=1-18,Amazon,2048,17.3,32,657,15.78 x 10.15 x 0.78 inches,4.6,https://m.media-amazon.com/images/I/61TGRBGTNzL.__AC_SX300_SY300_QL70_FMwebp_.jpg
HP,Chromebook 14a-na0226nr,14a-na0226nr,Intel,Celeron,SSD,Chrome OS,1366 x 768 Pixels,4.3,14.0,175.00,Yes,2024-12-05 12:17:21,https://www.amazon.com/HP-Chromebook-Graphics-Keyboard-14a-na0226nr/dp/B09SVSBVP1/ref=sr_1_19?dib=eyJ2IjoiMSJ9.Mxv-LfaT1mRTkqi6GWEFXxFggO64cMc5a5WQAxAoDYKDc12AZYR8P_ulvGvs2fWDJ7_Nm3Q_vhpmjYCsv0OJPJs6Bo1FRX66cFxFfjDS5M6onhimzcAeCOZ3ganbR1ztxCB3tNO3H2yyijUubD6xTB3G5UxB2MqPQQaHrdLyLai29xSPy1hZkKf5Sm2MjOm9tSgk53w2mGq_T8vokhTRQYuN1uCwbBymaj5IEXp_6tzKZ-DZ8lOcjCmWHFWVn2fkST3y58q3_y3AxTbeKQumI-hyzZmMa7tonKGyaYVia00.eFMZpiqa4BbfF8ul13G1oFWFR-jOJGFy_-1DtQHxgmY&dib_tag=se&qid=1726997913&s=pc&sr=1-19,Amazon,64,14.0,4,823,12.82 x 8.60 x 0.70 inches,3.24,https://m.media-amazon.com/images/I/71tXLOE7wIL.__AC_SX300_SY300_QL70_FMwebp_.jpg
Lenovo,IdeaPad 1 15IJL7,IdeaPad 1 15IJL7,Intel,Celeron,SSD,Windows 11 Home,1920 x 1080 Pixels,4.1,,399.00,Yes,2024-12-05 12:17:26,https://www.amazon.com/Lenovo-IdeaPad-Student-Processor-Bluetooth/dp/B0CDQTSSTR/ref=sr_1_20?dib=eyJ2IjoiMSJ9.Mxv-LfaT1mRTkqi6GWEFXxFggO64cMc5a5WQAxAoDYKDc12AZYR8P_ulvGvs2fWDJ7_Nm3Q_vhpmjYCsv0OJPJs6Bo1FRX66cFxFfjDS5M6onhimzcAeCOZ3ganbR1ztxCB3tNO3H2yyijUubD6xTB3G5UxB2MqPQQaHrdLyLai29xSPy1hZkKf5Sm2MjOm9tSgk53w2mGq_T8vokhTRQYuN1uCwbBymaj5IEXp_6tzKZ-DZ8lOcjCmWHFWVn2fkST3y58q3_y3AxTbeKQumI-hyzZmMa7tonKGyaYVia00.eFMZpiqa4BbfF8ul13G1oFWFR-jOJGFy_-1DtQHxgmY&dib_tag=se&qid=1726997913&s=pc&sr=1-20,Amazon,2048,15.6,20,892,14.18 x 9.29 x 0.70 inches,3.42,https://m.media-amazon.com/images/I/61ye8ndhYvL.__AC_SY300_SX300_QL70_FMwebp_.jpg
Acer,Laptop,NX.KJBAA.001,AMD,Ryzen 3,SSD,Windows 11 S,1920x1080,4.4,11.0,279.99,Yes,2024-12-05 12:17:35,https://www.amazon.com/A315-24P-R7VH-Display-Quad-Core-Processor-Graphics/dp/B0BS4BP8FB/ref=sr_1_22?dib=eyJ2IjoiMSJ9.Mxv-LfaT1mRTkqi6GWEFXxFggO64cMc5a5WQAxAoDYKDc12AZYR8P_ulvGvs2fWDJ7_Nm3Q_vhpmjYCsv0OJPJs6Bo1FRX66cFxFfjDS5M6onhimzcAeCOZ3ganbR1ztxCB3tNO3H2yyijUubD6xTB3G5UxB2MqPQQaHrdLyLai29xSPy1hZkKf5Sm2MjOm9tSgk53w2mGq_T8vokhTRQYuN1uCwbBymaj5IEXp_6tzKZ-DZ8lOcjCmWHFWVn2fkST3y58q3_y3AxTbeKQumI-hyzZmMa7tonKGyaYVia00.eFMZpiqa4BbfF8ul13G1oFWFR-jOJGFy_-1DtQHxgmY&dib_tag=se&qid=1726997913&s=pc&sr=1-22,Amazon,128,15.6,8,329,14.29 x 0.74 x 9.35 inches,3.92,https://m.media-amazon.com/images/I/61gKkYQn6lL.__AC_SY300_SX300_QL70_FMwebp_.jpg
Lenovo,Newest Flagship Lenovo Chromebook,Newest Flagship Lenovo Chromebook,MediaTek,Cortex,eMMC,Chrome OS,1920 x 1080 Pixels,4.3,13.5,207.78,Yes,2024-12-05 12:17:41,https://www.amazon.com/Lenovo-Newest-Flagship-Chromebook-HubxcelAccesory/dp/B0CBJ46QZX/ref=sr_1_23?dib=eyJ2IjoiMSJ9.Mxv-LfaT1mRTkqi6GWEFXxFggO64cMc5a5WQAxAoDYKDc12AZYR8P_ulvGvs2fWDJ7_Nm3Q_vhpmjYCsv0OJPJs6Bo1FRX66cFxFfjDS5M6onhimzcAeCOZ3ganbR1ztxCB3tNO3H2yyijUubD6xTB3G5UxB2MqPQQaHrdLyLai29xSPy1hZkKf5Sm2MjOm9tSgk53w2mGq_T8vokhTRQYuN1uCwbBymaj5IEXp_6tzKZ-DZ8lOcjCmWHFWVn2fkST3y58q3_y3AxTbeKQumI-hyzZmMa7tonKGyaYVia00.eFMZpiqa4BbfF8ul13G1oFWFR-jOJGFy_-1DtQHxgmY&dib_tag=se&qid=1726997913&s=pc&sr=1-23,Amazon,64,14.0,4,535,12.83 x 8.73 x 0.73 inches,3.2,https://m.media-amazon.com/images/I/61KlKRdsQ7L.__AC_SY300_SX300_QL70_FMwebp_.jpg
HP,TPN-Q222,TPN-Q222,Intel,Core i3,SSD,Windows 11 Home,1366 x 768 Pixels,4.1,,425.00,Yes,2024-12-05 12:17:47,https://www.amazon.com/HP-Notebook-Touchscreen-i3-1115G4-Processor/dp/B0BZ8X9HGT/ref=sr_1_24?dib=eyJ2IjoiMSJ9.Mxv-LfaT1mRTkqi6GWEFXxFggO64cMc5a5WQAxAoDYKDc12AZYR8P_ulvGvs2fWDJ7_Nm3Q_vhpmjYCsv0OJPJs6Bo1FRX66cFxFfjDS5M6onhimzcAeCOZ3ganbR1ztxCB3tNO3H2yyijUubD6xTB3G5UxB2MqPQQaHrdLyLai29xSPy1hZkKf5Sm2MjOm9tSgk53w2mGq_T8vokhTRQYuN1uCwbBymaj5IEXp_6tzKZ-DZ8lOcjCmWHFWVn2fkST3y58q3_y3AxTbeKQumI-hyzZmMa7tonKGyaYVia00.eFMZpiqa4BbfF8ul13G1oFWFR-jOJGFy_-1DtQHxgmY&dib_tag=se&qid=1726997913&s=pc&sr=1-24,Amazon,2048,15.6,32,54,14.10 x 9.53 x 0.71 inches,3.75,https://m.media-amazon.com/images/I/61oAh3XrX+L._AC_SY300_SX300_.jpg
Dell,Dell Inspiron,Dell Laptop,Intel,Core i5,SSD,Windows 11 Pro,1920 x 1080 Pixels,4.1,6.5,469.00,Yes,2024-12-05 12:17:53,https://www.amazon.com/Dell-Laptop-Touchscreen-Quad-Core-i5-1135G7/dp/B0CC936WF1/ref=sr_1_25?dib=eyJ2IjoiMSJ9.Mxv-LfaT1mRTkqi6GWEFXxFggO64cMc5a5WQAxAoDYKDc12AZYR8P_ulvGvs2fWDJ7_Nm3Q_vhpmjYCsv0OJPJs6Bo1FRX66cFxFfjDS5M6onhimzcAeCOZ3ganbR1ztxCB3tNO3H2yyijUubD6xTB3G5UxB2MqPQQaHrdLyLai29xSPy1hZkKf5Sm2MjOm9tSgk53w2mGq_T8vokhTRQYuN1uCwbBymaj5IEXp_6tzKZ-DZ8lOcjCmWHFWVn2fkST3y58q3_y3AxTbeKQumI-hyzZmMa7tonKGyaYVia00.eFMZpiqa4BbfF8ul13G1oFWFR-jOJGFy_-1DtQHxgmY&dib_tag=se&qid=1726997913&s=pc&sr=1-25,Amazon,2048,15.6,16,214,14.11 x 9.27 x 0.83 inches,3.8,https://m.media-amazon.com/images/I/71gbrvRJI-L.__AC_SX300_SY300_QL70_FMwebp_.jpg
Apple,MacBook Air,MGND3LL/A,Apple,Apple M1,SSD,macOS,2560x1600 Pixels,4.1,18.0,427.00,Yes,2024-12-05 12:17:57,https://www.amazon.com/Apple-MacBook-128GB-Space-Renewed/dp/B09WQ36NF1/ref=sr_1_26?dib=eyJ2IjoiMSJ9.Mxv-LfaT1mRTkqi6GWEFXxFggO64cMc5a5WQAxAoDYKDc12AZYR8P_ulvGvs2fWDJ7_Nm3Q_vhpmjYCsv0OJPJs6Bo1FRX66cFxFfjDS5M6onhimzcAeCOZ3ganbR1ztxCB3tNO3H2yyijUubD6xTB3G5UxB2MqPQQaHrdLyLai29xSPy1hZkKf5Sm2MjOm9tSgk53w2mGq_T8vokhTRQYuN1uCwbBymaj5IEXp_6tzKZ-DZ8lOcjCmWHFWVn2fkST3y58q3_y3AxTbeKQumI-hyzZmMa7tonKGyaYVia00.eFMZpiqa4BbfF8ul13G1oFWFR-jOJGFy_-1DtQHxgmY&dib_tag=se&qid=1726997913&s=pc&sr=1-26,Amazon,128,13.3,8,729,14.35 x 9.82 x 0.95 inches,3.63,https://m.media-amazon.com/images/I/41DeT328kPL.__AC_SX300_SY300_QL70_FMwebp_.jpg
MSI,Thin 15 B12VE-2023US,THIN15122023,Intel,Core i7,SSD,Windows 11 Home,1920 x 1080 pixels,4.3,,799.99,Yes,2024-12-05 12:18:05,https://www.amazon.com/MSI-Thin-144Hz-Gaming-Laptop/dp/B0CXV8YGLV/ref=sr_1_28?dib=eyJ2IjoiMSJ9.Mxv-LfaT1mRTkqi6GWEFXxFggO64cMc5a5WQAxAoDYKDc12AZYR8P_ulvGvs2fWDJ7_Nm3Q_vhpmjYCsv0OJPJs6Bo1FRX66cFxFfjDS5M6onhimzcAeCOZ3ganbR1ztxCB3tNO3H2yyijUubD6xTB3G5UxB2MqPQQaHrdLyLai29xSPy1hZkKf5Sm2MjOm9tSgk53w2mGq_T8vokhTRQYuN1uCwbBymaj5IEXp_6tzKZ-DZ8lOcjCmWHFWVn2fkST3y58q3_y3AxTbeKQumI-hyzZmMa7tonKGyaYVia00.eFMZpiqa4BbfF8ul13G1oFWFR-jOJGFy_-1DtQHxgmY&dib_tag=se&qid=1726997913&s=pc&sr=1-28,Amazon,512,15.6,16,882,14.13 x 0.09 x 9.99 inches,7.39,https://m.media-amazon.com/images/I/71Fr-EEsp6L.__AC_SX300_SY300_QL70_FMwebp_.jpg
