processor.unlocked_processor,display.screen_type,camera.rear-facing_camera,general.model_family,storage.emmc_capacity,storage.hard_drive_capacity,included.optical_drive_type,connectivity.ethernet_card,connectivity.number_of_usb-c_charging_ports,connectivity.number_of_usb-a_charging_ports,certifications_&_listings.epeat_qualified,features.audio_technology,connectivity.number_of_usb_ports_(total),processor.cpu_base_clock_frequency,features.windows_features,key_specs.operating_system,"expansion.number_of_internal_2.5""_bays",compatibility.voice_assistant_built-in,key_specs.total_storage_capacity,storage.hard_drive_rpm,power.battery_life_(up_to),key_specs.voice_assistant_built-in,processor.number_of_cpu_cores,processor.l2_cache,features.stylus_dock,power.battery_cells,storage.solid_state_drive_interface,cooling.number_of_cpu_cooling_fans,timestamp,key_specs.brightness,dimensions.product_weight,connectivity.bluetooth_version,general.product_name,features.media_card_reader,display.screen_resolution,processor.number_of_cpu_threads,features.media_card_slot,connectivity.usb_ports,camera.rear_facing_camera_video_resolution,processor.processor_model_number,connectivity.gps_enabled,review_count,memory.number_of_memory_slots,dimensions.product_height,display.synchronization_technology,key_specs.2-in-1_design,power.power_supply_maximum_wattage,connectivity.compatible_wireless_standard(s),processor.processor_brand,camera.front-facing_camera,processor.l1_cache,camera.built-in_microphone,key_specs.cpu_base_clock_frequency,power.battery_capacity,cooling.number_of_gpu_cooling_fans,power.charging_interface(s),graphics.gpu_brand,dimension.product_weight,certifications_&_listings.epeat_level,key_specs.screen_type,connectivity.wireless_standard,display.brightness,included.included_software,key_specs.touch_screen,storage.total_storage_capacity,key_specs.screen_size,display.color_gamut_(ntsc),display.screen_size,storage.hard_drive_interface,cooling.cpu_cooling_system,dimensions.product_width,features.speaker_type,display.refresh_rate,connectivity.headphone_jack,key_specs.works_with,expansion.number_of_m.2_slots,warranty.manufacturer's_warranty_-_parts,features.windows_ai,connectivity.display_connector(s),display.high_dynamic_range_(hdr),storage.solid_state_drive_capacity,power.battery_type,price,connectivity.number_of_displayport_outputs_(total),key_specs.display_connector(s),graphics.number_of_gpu_cores,in_stock,memory.system_memory_ram_speed,general.brand,features.chrome_features,product_title,compatibility.operating_system,key_specs.wireless_connectivity,dimensions.product_depth,processor.processor_model,key_specs.processor_model,features.mac_features,warranty.manufacturer's_warranty_-_labor,graphics.advanced_graphics_rendering_technique(s),dimension.product_depth,key_specs.screen_resolution,features.keyboard_technology,connectivity.number_of_vga_ports,display.stylus_input,key_specs.battery_type,cooling.gpu_cooling_system,dimension.product_height,other.upc,general.color_category,key_specs.refresh_rate,power.power_supply_input,features.2-in-1_design,features.backlit_keyboard,storage.storage_type,included.stylus_included,display.color_gamut_(standard_rgb),key_specs.system_memory_(ram),key_specs.battery_life_(up_to),features.cable_lock_slot,memory.system_memory_(ram),dimension.product_width,key_specs.backlit_keyboard,general.model_number,connectivity.number_of_ethernet_ports,graphics.gpu_boost_clock_frequency,graphics.gpu_video_memory_type_(ram),connectivity.wireless_connectivity,display.display_surface,compatibility.operating_system_compatibility,key_specs.storage_type,features.gps_enabled,key_specs.graphics,display.display_type,connectivity.number_of_usb_type_c_charging_ports,connectivity.network_connectivity,memory.number_of_memory_sticks_included,graphics.unlocked_gpu,connectivity.data_plan_required,features.keyboard_included,processor.neural_processing_unit_(npu),storage.hard_drive_accelerator,memory.system_memory_ram_expandable_to,camera.front_facing_camera_video_resolution,connectivity.microphone_input,url,processor.maximum_npu_performance,compatibility.works_with,features.casing_material,features.customizable_case_lighting,camera.rear_facing_camera_megapixels,included.numeric_keypad,rating_average,graphics.gpu_video_memory_(ram),features.customizable_keyboard_lighting,features.foldable_screen,processor.cpu_cache_memory_level,features.touchpad_type,general.color,graphics.gpu_base_clock_frequency,key_specs.security_features,connectivity.wireless_networking_standard,processor.l3_cache,image_src,graphics.graphics,general.year_of_release,memory.expandable_memory_compatibility,camera.front_facing_camera_megapixels,processor.cpu_boost_clock_frequency,compatibility.operating_system_architecture,connectivity.number_of_thunderbolt_ports_(total),connectivity.displayport_over_usb-c,connectivity.number_of_hdmi_outputs_(total),graphics.graphics_type,features.security_features,memory.type_of_memory_(ram),certifications_&_listings.energy_star_certified,display.touch_screen
,,,,64 gigabytes,,,,,,No,,2,,,,,,64 gigabytes,,8 hours,,,,,,,,2024-12-05 03:08:49,,2.65 pounds,,"Chromebook 311 - 11.6"" HD Laptop - Intel Celeron N4500 - 4GB Memory - 64GB eMMC",,1366 x 768 (HD),,,"1 x USB-C 3.2, 1 x USB-A 3.1",,Intel Celeron N4500 Dual-Core,,(31 Reviews),,,,,,,Intel,Yes,,,,,,,Intel,,,,,,,No,64 gigabytes,11.6 inches,,11.6 inches,,Air,7.83 inches,,,Yes,,,1 year,,Display connection via USB port,,,Lithium-ion,$119.00Your price for this item is $119.00,,Display connection via USB port,,yes,,Acer,,"Acer - Chromebook 311 - 11.6"" HD Laptop - Intel Celeron N4500 - 4GB Memory - 64GB eMMC - Star Black",Chrome OS,,11.31 inches,Intel Celeron,Intel Celeron,,1 year,,,1366 x 768 (HD),,,,Lithium-ion,,,195133259316,,,,,No,eMMC,,,4 gigabytes,8 hours,,4 gigabytes,,No,CBOA311-1H-C90F,,,,"Bluetooth, Wi-Fi",,,eMMC,,Intel UHD Graphics,,,,,,,,,,,,Yes,https://www.bestbuy.com/site/acer-chromebook-311-11-6-hd-laptop-intel-celeron-n4500-4gb-memory-64gb-emmc-star-black/6587182.p?skuId=6587182,,,,,,,4.5,,,,,,Star Black,,,,,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/3503751c-d257-48fa-8f73-9201cfea9277.jpg;maxHeight=640;maxWidth=550;format=webp,Intel UHD Graphics,2024,,,,,,,,Integrated,,LPDDR4X,No,No
,,,,64 gigabytes,,,,,,No,,3,1.1 gigahertz,,,,,64 gigabytes,,10 hours,,2-core (dual-core),,None,3-cell,,,2024-12-05 03:08:56,,2.87 pounds,,"ASUS 14"" FHD Laptop - Intel Celeron N4500 with 4GB Memory - 64GB eMMC",Yes,1920 x 1080 (Full HD),,microSD,"1 x USB-A 2.0, 1 x USB-A 3.2, 1 x USB-C 3.2",,Intel Celeron-N4500,,(315 Reviews),1,0.71 inches,,No,33 watts,,Intel,Yes,,Yes,1.1 gigahertz,,,,Intel,,,,AC,,,No,64 gigabytes,14 inches,,14 inches,,Air,8.54 inches,,,Yes,,,1 year,,1 x HDMI 1.4,,,Lithium-ion,$119.99Your price for this item is $119.99,0,1 x HDMI 1.4,,yes,3200 megahertz,ASUS,,"ASUS 14"" FHD Laptop - Intel Celeron N4500 with 4GB Memory - 64GB eMMC - Star Black",Windows 11 Home in S Mode,,12.8 inches,Intel Celeron,Intel Celeron,,1 year,,,1920 x 1080 (Full HD),,0,,Lithium-ion,,,197105482524,Black,,,No,No,eMMC,No,,4 gigabytes,10 hours,,4 gigabytes,,No,E410KA-CL464,,,,"Bluetooth, Wi-Fi",,,eMMC,No,Intel UHD Graphics,LED,,None,1,,,,,,4 gigabytes,720p,Yes,https://www.bestbuy.com/site/asus-14-fhd-laptop-intel-celeron-n4500-with-4gb-memory-64gb-emmc-star-black/6568803.p?skuId=6568803,,,,,,No,4.2,,No,No,,,Star Black,,,Wi-Fi 5,,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/1b51bf6b-92d8-4155-badf-c40b64ed6411.jpg;maxHeight=640;maxWidth=550;format=webp,Intel UHD Graphics,2024,,,2.8 gigahertz,64-bit,0,,1,Integrated,,DDR4,Yes,No
,IPS,,,,,None,,,,No,,4,,,,,No,512 gigabytes,,9 hours,,10-core,,,3-cell,,,2024-12-05 03:09:01,250 nits,3.79 pounds,,"Latitude 3000 15.6"" Laptop - Intel Core i7 with 16GB Memory - 512 GB SSD",,1920 x 1080 (Full HD),12,,6 x USB-A 3.2,,1355U,,(1 Review),,13 9/10 inches,,No,,,Intel,Yes,,,,,,,Intel,,,IPS,,250 nits,,No,512 gigabytes,15.6 inches,,15.6 inches,,,2 3/5 inches,,60Hz,,,,1 year limited,,1 x HDMI,,512 gigabytes,Lithium-ion,"$1,089.99Your price for this item is $1,089.99",,1 x HDMI,,yes,5200 megahertz,Dell,,"Dell - Latitude 3000 15.6"" Laptop - Intel Core i7 with 16GB Memory - 512 GB SSD - Soft Charcoal, Other",Windows 11 Pro,,17 3/5 inches,Intel 13th Generation Core i7,Intel 13th Generation Core i7,,1 year limited,,,1920 x 1080 (Full HD),,,,Lithium-ion,,,884116472193,,60Hz,,No,No,SSD,,45 percent,16 gigabytes,9 hours,,16 gigabytes,,No,7CCG9,1,,DDR5 SDRAM,Bluetooth,,,SSD,,Intel Graphics,,,None,,,,,,,,,,https://www.bestbuy.com/site/dell-latitude-3000-15-6-laptop-intel-core-i7-with-16gb-memory-512-gb-ssd-soft-charcoal-other/6585432.p?skuId=6585432,,,,,,,5.0,,,,,,"Soft Charcoal, Other",,,,,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6585/6585432_rd.jpg;maxHeight=640;maxWidth=550;format=webp,Intel Graphics,2024,,,5 gigahertz,,,,1,Integrated,,DDR5 SDRAM,No,No
,,,,,,,,,,No,,,,,,,,512 gigabytes,,,,,,,,,,2024-12-05 03:09:06,,3.9 pounds,,"HP Zbook 15U G6 Laptop, Intel i7-8665U 1.90GHz, 32GB RAM, 512GB SSD  Windows 10 Pro-64  - Refurbished",,1920 x 1080 (Full HD),,,,,Core i7-8665U,,Be the first to write a review,,,,,,,Intel,Yes,,,,,,,Intel,,,,,,,No,512 gigabytes,15.6 inches,,15.6 inches,,,,,,,,,18 Months,,1 x HDMI,,512 gigabytes,Lithium-ion,$399.99Your price for this item is $399.99,,1 x HDMI,,yes,,HP,,"HP Zbook 15U G6 Laptop, Intel i7-8665U 1.90GHz, 32GB RAM, 512GB SSD  Windows 10 Pro-64  - Refurbished - Gray",Windows 10 Pro,,,Intel 8th Generation Core i7,Intel 8th Generation Core i7,,18 Months,,,1920 x 1080 (Full HD),,,,Lithium-ion,,,840415224284,Gray,,,,No,SSD,,,32 gigabytes,,,32 gigabytes,,No,HP.15UG6.I7.8665U.32.512.W10P,,,,,,,SSD,,Intel Graphics,,,,,,,,,,,,,https://www.bestbuy.com/site/hp-zbook-15u-g6-laptop-intel-i7-8665u-1-90ghz-32gb-ram-512gb-ssd-windows-10-pro-64-refurbished-gray/6598989.p?skuId=6598989,,,,,,,,,,,,,Gray,,,,,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/df7156c3-5611-4038-a963-9c1a9544518d.jpg;maxHeight=640;maxWidth=550;format=webp,Intel Graphics,2018,,,,,,,,Integrated,,DDR4,No,No
,IPS,,,,,,,,,Yes,,4,1.2 gigahertz,,,,,512 gigabytes,,10 hours,,6-core,,,,PCIe 4.0,,2024-12-05 03:09:11,250 nits,4.63 pounds,,"Vivobook 17"" FHD Laptop - Intel Core i3-1215U with 8GB Memory - 512GB SSD",,1920 x 1080 (Full HD),,,"1 x USB-A 2.0, 1 x USB-C 3.2, 2 x USB-A 3.2",,Intel Core i3 1215U,,(1 Review),,0.78 inches,,No,45 watts,,Intel,Yes,,Yes,1.2 gigahertz,,,,Intel,,Silver,IPS,AX,250 nits,,No,512 gigabytes,17.3 inches,45 percent,17.3 inches,,Air,10.01 inches,,60Hz,Yes,,,1 year,,1 x HDMI 1.4,,512 gigabytes,Lithium-ion,$399.99Your price for this item is $399.99,0,1 x HDMI 1.4,,yes,3200 megahertz,ASUS,,"ASUS - Vivobook 17"" FHD Laptop - Intel Core i3-1215U with 8GB Memory - 512GB SSD - Quiet Blue",Windows 11 Home,,15.72 inches,Intel 12th Generation Core i3,Intel 12th Generation Core i3,,1 year,,,1920 x 1080 (Full HD),,0,,Lithium-ion,,,197105685734,Blue,60Hz,,No,No,SSD,,,8 gigabytes,10 hours,,8 gigabytes,,No,X1704ZA-I38512,,,,"Wi-Fi, Bluetooth",,,SSD,No,Intel UHD Graphics,LED,,,,,,,No,,,720p,Yes,https://www.bestbuy.com/site/asus-vivobook-17-fhd-laptop-intel-core-i3-1215u-with-8gb-memory-512gb-ssd-quiet-blue/6587795.p?skuId=6587795,,,,,,Yes,5.0,,,No,,,Quiet Blue,,,Wi-Fi 6E,,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/93e739ae-a1e1-49e9-bc58-fb931a9bb586.jpg;maxHeight=640;maxWidth=550;format=webp,Intel UHD Graphics,2024,,,4.4 gigahertz,,0,,1,Integrated,,DDR4,No,No
,IPS,,,,,,,,,Yes,,4,3.5 gigahertz,,,,No,512 gigabytes,,12 hours,,6-core,,,4-cell,,,2024-12-05 03:09:19,300 nits,4.63 pounds,,"Yoga 7 2-in-1 16"" 2K Touchscreen Laptop - AMD Ryzen 5 8640HS with 8GB Memory - 512GB SSD",Yes,1900 x 1200 (WUXGA),12,,"2 x USB-A 3.2, 2 x USB-C 3.2",,AMD Ryzen 5 8640HS,,(109 Reviews),,0.75 inches,,Yes,66 watts,,AMD,Yes,,Yes,3.5 gigahertz,,,,AMD Radeon,,Gold,IPS,AX,300 nits,Microsoft 365 Trial,Yes,512 gigabytes,16 inches,45 percent,16 inches,,Air,14.24 inches,2 x 2W,60Hz,Yes,,,1 Year Limited with Premium Care,Copilot,"1 x HDMI 2.1, 1 x DisplayPort 1.4",,513 gigabytes,Lithium-polymer,$499.99Your price for this item is $499.99,2,"1 x HDMI 2.1, 1 x DisplayPort 1.4",,yes,7467 megahertz,Lenovo,,"Lenovo - Yoga 7 2-in-1 16"" 2K Touchscreen Laptop - AMD Ryzen 5 8640HS with 8GB Memory - 512GB SSD - Artic Grey",Windows 11 Home,,9.84 inches,AMD Ryzen 5 8000 Series,AMD Ryzen 5 8000 Series,,1 Year Limited with Premium Care,,,1900 x 1200 (WUXGA),,,,Lithium-polymer,,,197531583918,Gray,60Hz,,Yes,Yes,SSD,Yes,,8 gigabytes,12 hours,,8 gigabytes,,Yes,83DM0004US,,,,"Bluetooth, Wi-Fi",,,SSD,,AMD Radeon,LCD,,,,,,,Yes,,,1080p,,https://www.bestbuy.com/site/lenovo-yoga-7-2-in-1-16-2k-touchscreen-laptop-amd-ryzen-5-8640hs-with-8gb-memory-512gb-ssd-artic-grey/6571370.p?skuId=6571370,16 trillions operations per second,,Aluminum,,,Yes,4.1,,,,,,Artic Grey,,,Wi-Fi 6E,,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6571/6571370_sd.jpg;maxHeight=640;maxWidth=550;format=webp,AMD Radeon,2024,,,4.9 gigahertz,64-bit,,,1,Integrated,"Fingerprint reader, Privacy camera",LPDDR5X,Yes,Yes
,IPS,,,,,,,,,No,Realtek ALC5682I,3,1.1 gigahertz,,,,,128 gigabytes,,10 hours,,4-core (quad-core),,,3-cell,,,2024-12-05 03:09:26,300 nits,3.586 pounds,,"IdeaPad 3i Chromebook Laptop - 15"" FHD Touch Screen - Pentium Silver N6000 - 8GB Memory - 128GB SSD",Yes,1920 x 1080 (Full HD),4,microSD,"2 x USB-A 3.2, 1 x USB-C 3.2",,N6000,,(42 Reviews),,0.75 inches,,No,45 watts,,Intel,Yes,,Yes,1.1 gigahertz,,,,Intel,,,IPS,AX,300 nits,,Yes,128 gigabytes,15.6 inches,,15.6 inches,,Air,14.25 inches,2 x 2W,,Yes,,,1 year limited,,"1 x DisplayPort 1.4, 1 x HDMI 1.4",,128 gigabytes,Lithium-polymer,$429.00Your price for this item is $429.00,2,"1 x DisplayPort 1.4, 1 x HDMI 1.4",,yes,2933 megahertz,Lenovo,Google Assistant,"Lenovo - IdeaPad 3i Chromebook Laptop - 15"" FHD Touch Screen - Pentium Silver N6000 - 8GB Memory - 128GB SSD - Arctic Grey",Chrome OS,,9.57 inches,Intel Pentium,Intel Pentium,,1 year limited,,,1920 x 1080 (Full HD),,,,Lithium-polymer,,,197531451583,Gray,,USB-C,No,No,SSD,No,,8 gigabytes,10 hours,,8 gigabytes,,No,82N40045US,0,,,"Wi-Fi, Bluetooth",,,SSD,,Intel UHD Graphics,LCD,,,,,,,,,,720p,Yes,https://www.bestbuy.com/site/lenovo-ideapad-3i-chromebook-laptop-15-fhd-touch-screen-pentium-silver-n6000-8gb-memory-128gb-ssd-arctic-grey/6567669.p?skuId=6567669,,"Amazon Alexa, Google Assistant",Plastic,No,,No,4.6,,,No,,,Arctic Grey,,,Wi-Fi 6,,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6567/6567669_sd.jpg;maxHeight=640;maxWidth=550;format=webp,Intel UHD Graphics,2023,,,3.3 gigahertz,64-bit,,,1,Integrated,Privacy camera,LPDDR4X,Yes,Yes
,IPS,,,,,None,,,,Yes,Waves MaxxAudio Pro + Dolby Atmos,4,1.8 gigahertz,,,,,1000 gigabytes,,10 hours,,10-core,12 megabytes,None,4-cell,PCIe,,2024-12-05 03:09:31,250 nits,3.77 pounds,,Inspiron 2-in-1 14” IPS LED FHD+ Touch Screen Laptop – Intel Core 7 with 16GB Memory – 1TB SSD,Yes,1920 x 1200 (Full HD+),12,Secure Digital,"2 x USB-C 3.2, 1 x USB-A 3.2",,150U,,(289 Reviews),,0.74 inches,,Yes,65 watts,,Intel,Yes,,Yes,1.8 gigahertz,,,,Intel,,Silver,IPS,AX,250 nits,McAfee® LiveSafe™ 30-day trial,Yes,1000 gigabytes,14 inches,,14 inches,,,12.36 inches,Stereo Speakers,60Hz,Yes,,,1 Year Hardware Service with Onsite-In-Home Service After Remote Diagnosis,,1 x HDMI 1.4,,1000 gigabytes,Lithium-ion,$999.99Your price for this item is $999.99,,1 x HDMI 1.4,,yes,5200 megahertz,Dell,,Dell - Inspiron 2-in-1 14” IPS LED FHD+ Touch Screen Laptop – Intel Core 7 with 16GB Memory – 1TB SSD - Ice Blue,Windows 11 Home,,8.9 inches,Intel Core 7 Series 1,Intel Core 7 Series 1,,1 Year Hardware Service with Onsite-In-Home Service After Remote Diagnosis,,,1920 x 1200 (Full HD+),,,,Lithium-ion,,,884116470304,Blue,60Hz,,Yes,Yes,SSD,No,,16 gigabytes,10 hours,,16 gigabytes,,Yes,i7440-7304BLU-PUS,,,DDR5,"Bluetooth, Wi-Fi",,,SSD,No,Intel Graphics,LED,,,,,,,,,,,Yes,https://www.bestbuy.com/site/dell-inspiron-2-in-1-14-ips-led-fhd-touch-screen-laptop-intel-core-7-with-16gb-memory-1tb-ssd-ice-blue/6576386.p?skuId=6576386,,,,,,No,4.6,16 gigabytes,,,L2,Precision,Ice Blue,,,Wi-Fi 6E,,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/db457eb9-9406-45f6-8d34-ae810680b956.jpg;maxHeight=640;maxWidth=550;format=webp,Intel Graphics,2024,,,5.4 gigahertz,,,,1,Integrated,Fingerprint reader,DDR5,Yes,Yes
,,,,,,,,,,Yes,"Waves MaxxAudio Pro, Output Support Waves Nx Speakers + Dolby Atmos Cores",4,1.4 gigahertz,,,,,1000 gigabytes,,,,16-core,,None,4-cell,PCIe,,2024-12-05 03:09:39,300 nits,4.8 pounds,,Inspiron 16” 2-in-1 Touch Screen Laptop - Intel Core Ultra 7 with 32GB Memory – 1TB SSD,Yes,2560 x 1600,22,,"2 x USB-C 4, 2 x USB-A",,155H,,(63 Reviews),,,,Yes,100 watts,,Intel,Yes,,Yes,1.4 gigahertz,,,,Intel,,Silver,,,300 nits,McAfee LiveSafe 30-day trial,Yes,1000 gigabytes,16 inches,,16 inches,,,14.05 inches,,165Hz,Yes,,,1 Year Hardware Service with Onsite/In-Home Service After Remote Diagnosis,,1 x HDMI 1.4,,1000 gigabytes,Lithium-ion,"$1,499.99Your price for this item is $1,499.99",,1 x HDMI 1.4,,yes,6400 megahertz,Dell,,Dell - Inspiron 16” 2-in-1 Touch Screen Laptop - Intel Core Ultra 7 with 32GB Memory – 1TB SSD - Midnight Blue,Windows 11 Home,,9.87 inches,Intel Core Ultra 7 Series 1,Intel Core Ultra 7 Series 1,,1 Year Hardware Service with Onsite/In-Home Service After Remote Diagnosis,,,2560 x 1600,,,,Lithium-ion,,,884116470380,Blue,165Hz,USB-C,Yes,Yes,SSD,No,,32 gigabytes,,,32 gigabytes,,Yes,i7640-7380BLU-PUS,,,,"Bluetooth, Wi-Fi",,,SSD,No,Intel Arc,LED,,,,,,,,,,,Yes,https://www.bestbuy.com/site/dell-inspiron-16-2-in-1-touch-screen-laptop-intel-core-ultra-7-with-32gb-memory-1tb-ssd-midnight-blue/6576385.p?skuId=6576385,,,,No,,,4.5,,,,L3,,Midnight Blue,,,,24 megabytes,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/94db26d1-8702-4bdc-bfd4-48c4f7986ff9.jpg;maxHeight=640;maxWidth=550;format=webp,Intel Arc,2024,,,4.8 gigahertz,,2,,,Integrated,,LPDDR5X,Yes,Yes
,IPS,,,,,None,,,,Yes,Waves MaxxAudio Pro + Dolby Atmos,4,5 gigahertz,,,,,512 gigabytes,,10 hours,,,,None,4-cell,PCIe,,2024-12-05 03:09:45,250 nits,3.77 pounds,,Inspiron 2-in-1 14” IPS LED FHD+ Touch Screen Laptop – Intel Core 5 with 8GB Memory – 512GB SSD,Yes,1920 x 1200 (Full HD+),10,Secure Digital,"2 x USB-A 3.2, 2 x USB-C 3.2",,120U,,(37 Reviews),,0.74 inches,,Yes,65 watts,,Intel,Yes,,Yes,5 gigahertz,,,,Intel,,Silver,IPS,AX,250 nits,McAfee 30day Trial ; MS Office 30-Day Trial,Yes,512 gigabytes,14 inches,,14 inches,,,12.36 inches,Stereo Speakers,60Hz,Yes,,,1 Year Hardware Service with Onsite/In-Home Service After Remote Diagnosis,,1 x HDMI 1.4,,512 gigabytes,Lithium-ion,$479.99Your price for this item is $479.99,,1 x HDMI 1.4,,yes,5200 megahertz,Dell,,Dell - Inspiron 2-in-1 14” IPS LED FHD+ Touch Screen Laptop – Intel Core 5 with 8GB Memory – 512GB SSD - Ice Blue,Windows 11 Home,,8.9 inches,Intel Core 5 Series 1,Intel Core 5 Series 1,,1 Year Hardware Service with Onsite/In-Home Service After Remote Diagnosis,,,1920 x 1200 (Full HD+),,,,Lithium-ion,,,884116470311,Blue,60Hz,,Yes,Yes,SSD,No,,8 gigabytes,10 hours,,8 gigabytes,,Yes,i7440-5311BLU-PUS,,,,"Bluetooth, Wi-Fi",,,SSD,No,Intel Graphics,LED,,,,,,,,,,,Yes,https://www.bestbuy.com/site/dell-inspiron-2-in-1-14-ips-led-fhd-touch-screen-laptop-intel-core-5-with-8gb-memory-512gb-ssd-ice-blue/6576383.p?skuId=6576383,,,,No,,No,4.5,,Yes,,L3,Precision,Ice Blue,,,Wi-Fi 6E,12 megabytes,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/09befc13-0b58-4337-91c0-599e44494111.jpg;maxHeight=640;maxWidth=550;format=webp,Intel Graphics,2024,,,,64-bit,,,1,Integrated,Fingerprint reader,DDR5,Yes,Yes
,,,,,,,,,,Yes,,3,,,,,,1000 gigabytes,,,,14-core,,,6-cell,,,2024-12-05 03:09:50,,3.57 pounds,,MacBook Pro 14-inch Apple M4 Max chip Built for Apple Intelligence - 36GB Memory - 1TB SSD,,3024 x 1964,,,3 x USB-C 4,,Apple M4 Max,,(7 Reviews),1,0.61 inches,,,,,Apple,Yes,,,,,,,Apple,,Gold,,,,,No,1000 gigabytes,14 inches,,14 inches,,,12.31 inches,,,,,,Apple One (1) Year Limited Warranty,,"3 x Thunderbolt 5, 1 x HDMI",,1000 gigabytes,Lithium-ion polymer,"$3,199.00Your price for this item is $3,199.00",,"3 x Thunderbolt 5, 1 x HDMI",,yes,,Apple,,Apple - MacBook Pro 14-inch Apple M4 Max chip Built for Apple Intelligence - 36GB Memory - 1TB SSD - Space Black,macOS Sequoia 15.1,,8.71 inches,Apple M4 Max,Apple M4 Max,,Apple One (1) Year Limited Warranty,,,3024 x 1964,,,,Lithium-ion polymer,,,195949875731,Black,,,,Yes,SSD,,,36 gigabytes,,,36 gigabytes,,Yes,MX2K3LL/A,,,,"Bluetooth, Wi-Fi",,,SSD,,Apple M4 Max 32-core,LED,,,,,,,,,,,,https://www.bestbuy.com/site/apple-macbook-pro-14-inch-apple-m4-max-chip-built-for-apple-intelligence-36gb-memory-1tb-ssd-space-black/6602750.p?skuId=6602750,,,,,,,5.0,,,,,,Space Black,,,,,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/8659517d-00e9-47d7-b6ab-5179838201f2.jpg;maxHeight=640;maxWidth=550;format=webp,Apple M4 Max 32-core,2024,,,,,3,,,Integrated,,Not provided,Yes,No
,IPS,,,,,None,,,,Yes,,3,,,,,,512 gigabytes,,,,10-core,,,3-cell,,,2024-12-05 03:09:56,300 nits,3.35 pounds,,"Envy 2-in-1 14"" Full HD Touch-Screen Laptop - Intel Core 5 - 8GB Memory - 512GB SSD",Yes,1920 x 1080 (Full HD),,microSD,"1 x USB-C 3.1, 2 x USB-A 3.0",,120U,,(248 Reviews),,0.77 inches,,Yes,65 watts,,Intel,Yes,,Yes,,,,,Intel,,Gold,IPS,,300 nits,,Yes,512 gigabytes,14 inches,,14 inches,,,12.68 inches,Poly Studio with dual speakers,,Yes,,,1 year,Copilot,1 x HDMI 2.1,,512 gigabytes,Lithium-ion polymer,$749.99Your price for this item is $749.99,,1 x HDMI 2.1,,yes,3200 megahertz,HP,,"HP - Envy 2-in-1 14"" Full HD Touch-Screen Laptop - Intel Core 5 - 8GB Memory - 512GB SSD - Natural Silver",Windows 11 Home,,8.3 inches,Intel Core 5 Series 1,Intel Core 5 Series 1,,1 year,,,1920 x 1080 (Full HD),,,,Lithium-ion polymer,,,198122013654,Silver,,,Yes,Yes,SSD,,,8 gigabytes,,,8 gigabytes,,Yes,9R8R2UA#ABA,,,,"Bluetooth, Wi-Fi",,,SSD,,Intel Graphics,LED,,,,,,,No,,,,Yes,https://www.bestbuy.com/site/hp-envy-2-in-1-14-full-hd-touch-screen-laptop-intel-core-5-8gb-memory-512gb-ssd-natural-silver/6571086.p?skuId=6571086,,,Aluminum,,,No,4.7,,,,L3,,Natural Silver,,,Wi-Fi 6E,12 megabytes,https://pisces.bbystatic.com/image2/BestBuy_US/images/products/895804dc-d8d2-4c2e-9696-7caf996a393f.jpg;maxHeight=640;maxWidth=550;format=webp,Intel Graphics,2023,,5 megapixels,5 gigahertz,,,,1,Integrated,"Fingerprint reader, Privacy camera",DDR4,Yes,Yes
