key_specs.graphics,general.product_name,processor.number_of_cpu_cores,features.casing_material,graphics.unlocked_gpu,memory.expandable_memory_compatibility,graphics.gpu_boost_clock_frequency,connectivity.usb_ports,key_specs.battery_type,memory.type_of_memory_(ram),camera.front_facing_camera_megapixels,connectivity.number_of_usb-c_charging_ports,power.battery_type,connectivity.ethernet_card,certifications_&_listings.epeat_qualified,general.model_family,key_specs.battery_life_(up_to),key_specs.works_with,general.year_of_release,storage.hard_drive_interface,processor.l1_cache,dimension.product_height,camera.front_facing_camera_video_resolution,camera.rear_facing_camera_megapixels,connectivity.network_connectivity,connectivity.compatible_wireless_standard(s),storage.emmc_capacity,dimensions.product_width,camera.rear_facing_camera_video_resolution,connectivity.display_connector(s),connectivity.number_of_usb_ports_(total),included.optical_drive_type,storage.hard_drive_rpm,connectivity.bluetooth_version,cooling.cpu_cooling_system,display.refresh_rate,compatibility.operating_system_compatibility,camera.built-in_microphone,memory.number_of_memory_sticks_included,graphics.number_of_gpu_cores,connectivity.number_of_hdmi_outputs_(total),key_specs.refresh_rate,features.touchpad_type,features.speaker_type,storage.hard_drive_capacity,key_specs.screen_resolution,graphics.graphics_type,dimensions.product_weight,key_specs.backlit_keyboard,included.included_software,features.media_card_slot,display.high_dynamic_range_(hdr),power.power_supply_input,processor.neural_processing_unit_(npu),display.display_surface,display.color_gamut_(ntsc),connectivity.headphone_jack,general.model_number,storage.total_storage_capacity,connectivity.wireless_connectivity,other.upc,power.charging_interface(s),graphics.graphics,dimension.product_weight,graphics.gpu_video_memory_type_(ram),warranty.manufacturer's_warranty_-_labor,processor.l3_cache,rating_average,connectivity.wireless_standard,dimension.product_width,features.backlit_keyboard,display.screen_type,features.media_card_reader,cooling.number_of_cpu_cooling_fans,storage.solid_state_drive_capacity,key_specs.screen_type,connectivity.number_of_displayport_outputs_(total),display.screen_size,display.screen_resolution,graphics.gpu_base_clock_frequency,key_specs.screen_size,warranty.manufacturer's_warranty_-_parts,features.keyboard_technology,review_count,connectivity.number_of_vga_ports,camera.rear-facing_camera,power.power_supply_maximum_wattage,key_specs.brightness,connectivity.gps_enabled,dimensions.product_height,features.customizable_case_lighting,key_specs.voice_assistant_built-in,certifications_&_listings.energy_star_certified,storage.solid_state_drive_interface,in_stock,key_specs.2-in-1_design,dimensions.product_depth,processor.unlocked_processor,graphics.advanced_graphics_rendering_technique(s),compatibility.operating_system_architecture,key_specs.touch_screen,certifications_&_listings.epeat_level,key_specs.cpu_base_clock_frequency,camera.front-facing_camera,features.mac_features,price,memory.number_of_memory_slots,included.stylus_included,connectivity.data_plan_required,key_specs.total_storage_capacity,features.security_features,display.display_type,processor.processor_brand,display.touch_screen,display.stylus_input,connectivity.number_of_usb_type_c_charging_ports,features.customizable_keyboard_lighting,graphics.gpu_video_memory_(ram),power.battery_capacity,memory.system_memory_ram_expandable_to,features.cable_lock_slot,features.windows_ai,processor.cpu_base_clock_frequency,features.keyboard_included,display.brightness,processor.cpu_cache_memory_level,cooling.number_of_gpu_cooling_fans,memory.system_memory_ram_speed,connectivity.interface(s),key_specs.system_memory_(ram),key_specs.storage_type,key_specs.display_connector(s),processor.maximum_npu_performance,storage.hard_drive_accelerator,"expansion.number_of_internal_2.5""_bays",general.color_category,compatibility.works_with,connectivity.number_of_thunderbolt_ports_(total),url,processor.processor_model_number,timestamp,key_specs.wireless_connectivity,display.color_gamut_(standard_rgb),processor.processor_model,connectivity.number_of_usb-a_charging_ports,key_specs.security_features,features.2-in-1_design,features.windows_features,compatibility.voice_assistant_built-in,connectivity.microphone_input,connectivity.displayport_over_usb-c,memory.system_memory_(ram),power.battery_cells,power.battery_life_(up_to),key_specs.processor_model,features.chrome_features,general.color,storage.storage_type,compatibility.operating_system,graphics.gpu_brand,included.numeric_keypad,features.gps_enabled,expansion.number_of_m.2_slots,general.brand,dimension.product_depth,processor.l2_cache,features.audio_technology,processor.cpu_boost_clock_frequency,connectivity.wireless_networking_standard,features.foldable_screen,features.stylus_dock,key_specs.operating_system,processor.number_of_cpu_threads,display.synchronization_technology,cooling.gpu_cooling_system,connectivity.number_of_ethernet_ports,product_title
Apple M2 10-core,"Geek Squad Certified Refurbished MacBook Pro 13.3"" Laptop - Apple M2 chip - 8GB Memory - 512GB SSD",10-core,,,,,2 x USB-C,Lithium-polymer,DDR4,,,Lithium-polymer,,Yes,,,,2022,,,,,,,,,2.4 inches,,2 x Thunderbolt 3,2,,,,,,,,,,,,,,,2560 x 1600 (Retina),Integrated,3 pounds,Yes,"Photos, iMovie, GarageBand, Pages, Numbers, Keynote, Siri, Safari, Mail, FaceTime, Messages, Maps, News, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Music, Podcasts, TV, Books, App Store",,,,,,,,GSRF MNEJ3LL/A,512 gigabytes,Wi-Fi,400065502110,,Apple M2 10-core,,,90 days,,4.8,,,Yes,,,,512 gigabytes,,,13.3 inches,2560 x 1600 (Retina),,13.3 inches,90 days,,(4 Reviews),,,,,,,,,Yes,,yes,,13.4 inches,,,,No,Gold,,Yes,,$979.99Your price for this item is $979.99,,,,512 gigabytes,,,Apple,No,,,,,,,,,,,,,,,,8 gigabytes,SSD,2 x Thunderbolt 3,,,,Space Gray,,,https://www.bestbuy.com/site/geek-squad-certified-refurbished-macbook-pro-13-3-laptop-apple-m2-chip-8gb-memory-512gb-ssd-space-gray/6550211.p?skuId=6550211,Apple M2,2024-11-02 20:42:37,,,Apple M2,,,,,,,,8 gigabytes,,,Apple M2,,Space Gray,SSD,macOS Monterey 12,Apple,,,,Apple,,,,,,,,,,,,,"Geek Squad Certified Refurbished MacBook Pro 13.3"" Laptop - Apple M2 chip - 8GB Memory - 512GB SSD - Space Gray"
Apple M2 10-core,"Geek Squad Certified Refurbished MacBook Air 13.6"" Laptop - Apple M2 chip - 8GB Memory - 512GB SSD",,,,,,2 x USB-C,Lithium-polymer,DDR4,,,Lithium-polymer,,Yes,,,,2022,,,,,,,,,14.8 inches,,2 x Thunderbolt 4,2,,,,,,,,,,,,,,,2560 x 1664,Integrated,2.7 pounds,Yes,"Photos, iMovie, GarageBand, Pages, Numbers, Keynote, Siri, Safari, Mail, FaceTime, Messages, Maps, News, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Music, Podcasts, TV, Books, App Store",,,,,,,,GSRF MLY43LL/A,512 gigabytes,Wi-Fi,400065502325,,Apple M2 10-core,,,90 days,,4.5,,,Yes,,,,512 gigabytes,,,13.6 inches,2560 x 1664,,13.6 inches,90 days,,(11 Reviews),,,,,,,,,Yes,,yes,,2.8 inches,,,,No,Gold,,Yes,,$879.99Your price for this item is $879.99,,,,512 gigabytes,,,Apple,No,,,,,,,,,,,,,,,,8 gigabytes,SSD,2 x Thunderbolt 4,,,,Black,,,https://www.bestbuy.com/site/geek-squad-certified-refurbished-macbook-air-13-6-laptop-apple-m2-chip-8gb-memory-512gb-ssd-midnight/6550232.p?skuId=6550232,Apple M2,2024-11-02 20:42:43,,,Apple M2,,,,,,,,8 gigabytes,,,Apple M2,,Midnight,SSD,macOS Monterey 12,Apple,,,,Apple,,,,,,,,,,,,,"Geek Squad Certified Refurbished MacBook Air 13.6"" Laptop - Apple M2 chip - 8GB Memory - 512GB SSD - Midnight"
AMD Radeon Pro 555X,"Apple MacBook Pro 15"" (2019) Refurbished 2880x1800 - Intel 9th Gen Core i7 with 16GB Memory - AMD Pro 555X - 256GB SSD",6-core,Aluminum,,,,4 x USB-C,Lithium-polymer,DDR4 SDRAM,,,Lithium-polymer,,No,,,,2019,,,,,,,,,9.48 inches,,4 x Thunderbolt 3,4,None,,,,,,Yes,,,0,,Multi-touch,Stereo speakers,,2880 x 1800,Integrated,4 pounds,No,,,,,,,,,MV902LL/A,256 gigabytes,,698769167555,,AMD Radeon Pro 555X,,,1 year,,3.7,,,No,Retina Display,,,256 gigabytes,Retina Display,0,15.4 inches,2880 x 1800,,15.4 inches,1 year,,(3 Reviews),,,,,,,,,Yes,,yes,,13.75 inches,,,,No,,2.9 gigahertz,Yes,,$589.99Your price for this item is $589.99,,,,256 gigabytes,,,Intel,No,,,,,,,,,2.9 gigahertz,,,,,,,16 gigabytes,SSD,4 x Thunderbolt 3,,,,Space Gray,,4,https://www.bestbuy.com/site/apple-macbook-pro-15-2019-refurbished-2880x1800-intel-9th-gen-core-i7-with-16gb-memory-amd-pro-555x-256gb-ssd-space-gray/6543509.p?skuId=6543509,9750H,2024-11-02 20:42:48,,,Intel 9th Generation Core i7,,,,,Siri,,,16 gigabytes,,,Intel 9th Generation Core i7,,Space Gray,SSD,Mac OS,Intel,,,,Apple,,,,,,,,,,,,,"Apple MacBook Pro 15"" (2019) Refurbished 2880x1800 - Intel 9th Gen Core i7 with 16GB Memory - AMD Pro 555X - 256GB SSD - Space Gray"
Intel Iris Xe Graphics,"ThinkPad E16 Gen 1 16"" Touch-Screen Laptop - Intel Core i7 with 16GB Memory - 512GB SSD",10-core,,,,,,Lithium-ion polymer,DDR4,,,Lithium-ion polymer,,Yes,,7.95 hours,,2023,,,,,,,,,0.78 inches,,"1 x HDMI 2.1, 1 x Thunderbolt 4, 2 x Thunderbolt",,,,,,60Hz,,Yes,,,1,60Hz,,,,1920 x 1200 (WUXGA),Integrated,3.9 pounds,Yes,,,,,,,,Yes,21JN003XUS,512 gigabytes,"Bluetooth, Wi-Fi",196804930015,,Intel Iris Xe Graphics,,,Not provided,,4.0,,,Yes,IPS,,,512 gigabytes,IPS,,16 inches,1920 x 1200 (WUXGA),,16 inches,Not provided,,(11 Reviews),,,,300 nits,,14.02 inches,,,Yes,,yes,No,9.75 inches,,,,Yes,Gold,,Yes,,"$1,005.99Your price for this item is $1,005.99",,,,512 gigabytes,,,Intel,Yes,,,,,,,,Copilot,,,300 nits,,,,,16 gigabytes,SSD,"1 x HDMI 2.1, 1 x Thunderbolt 4, 2 x Thunderbolt",,,,Black,Amazon Alexa,,https://www.bestbuy.com/site/lenovo-thinkpad-e16-gen-1-16-touch-screen-laptop-intel-core-i7-with-16gb-memory-512gb-ssd-black/6549726.p?skuId=6549726,1355U,2024-11-02 20:42:53,,,Intel 13th Generation Core i7,,,No,,No,Yes,,16 gigabytes,,7.95 hours,Intel 13th Generation Core i7,,Black,SSD,Windows 11 Pro,Intel,,,,Lenovo,,,,5 gigahertz,,,,,12,,,,"Lenovo - ThinkPad E16 Gen 1 16"" Touch-Screen Laptop - Intel Core i7 with 16GB Memory - 512GB SSD - Black"
Intel Arc,"Galaxy Book4 Pro 14"" AMOLED Touch Screen Laptop - Intel Core Ultra 7 - 16GB Memory - 512GB SSD",,Aluminum,,,,1 x USB-A 3.2,Lithium-ion,LPDDR5X,,,Lithium-ion,,Yes,,18 hours,,2024,,,,1080p,,,,,8.81 inches,,"1 x HDMI 2.1, 2 x Thunderbolt 4",1,None,,,Air,120Hz,,Yes,,,1,120Hz,,"AKG Quad Speakers (Woofer Max 5W x2, Tweeter 2W x2)",,2880 x 1800,Integrated,2.71 pounds,Yes,Yes,,,,Yes,,,Yes,NP940XGK-KG1US,512 gigabytes,"Wi-Fi, Bluetooth",887276831596,,Intel Arc,,,1 year,,4.2,AX,,Yes,AMOLED,Yes,,512 gigabytes,AMOLED,0,14 inches,2880 x 1800,,14 inches,1 year,,(13 Reviews),0,,65 watts,400 nits,,0.46 inches,,,Yes,NVMe,yes,No,12.30 inches,,,,Yes,Silver,3.6 gigahertz,Yes,,"$1,349.99Your price for this item is $1,349.99",,No,,512 gigabytes,Fingerprint reader,OLED,Intel,Yes,,,No,,4081 milliampere hours,,,Copilot,3.6 gigahertz,,400 nits,,,7467 megahertz,,16 gigabytes,SSD,"1 x HDMI 2.1, 2 x Thunderbolt 4",11 trillions operations per second,,,Gray,"Amazon Alexa, Bixby, Cortana, SmartThings",2,https://www.bestbuy.com/site/samsung-galaxy-book4-pro-14-amoled-touch-screen-laptop-intel-core-ultra-7-16gb-memory-512gb-ssd-moonstone-gray/6572180.p?skuId=6572180,155H,2024-11-02 20:42:58,,,Intel Core Ultra 7 Series 1 Evo Edition,,,No,,Bixby,Yes,,16 gigabytes,4-cell,18 hours,Intel Core Ultra 7 Series 1 Evo Edition,,Moonstone Gray,SSD,Windows 11 Home,Intel,No,No,2,Samsung,,,Dolby Atmos,,Wi-Fi 6E,,,,,,,0,"Samsung - Galaxy Book4 Pro 14"" AMOLED Touch Screen Laptop - Intel Core Ultra 7 - 16GB Memory - 512GB SSD - Moonstone Gray"
AMD Radeon Pro 560,"Geek Squad Certified Refurbished MacBook Pro®  - 15"" Display - Intel Core i7 - 16 GB Memory - 512GB Flash Storage",,Aluminum,,,,3 x USB-C 3.1,Lithium-polymer,LPDDR3,,,Lithium-polymer,10/100/1000,Yes,,10 hours,,2017,,,,,,,,,13.75 inches,,4 x Thunderbolt 3,4,None,,,Air,,,,,,0,,Gesture,Stereo Speakers,,2880 x 1800 (Retina),Dedicated,4.02 pounds,Yes,,,,,,,,,GSRF MPTT2LL/A,512 gigabytes,Wi-Fi,400065302086,,AMD Radeon Pro 560,,,90 days,,4.4,AC,,Yes,,Yes,,512 gigabytes,,1,15.4 inches,2880 x 1800 (Retina),,15.4 inches,90 days,,(17 Reviews),,,,,,0.61 inches,,,Yes,,No,No,9.48 inches,,,,No,Gold,2.9 gigahertz,Yes,"Force touch trackpad, Siri, Touch ID sensor",$539.99Your price for this item is $539.99,,No,,512 gigabytes,,LED,Intel,No,,,No,,,,None,,2.9 gigahertz,,,,,,,16 gigabytes,SSD,4 x Thunderbolt 3,,,,Gray,,4,https://www.bestbuy.com/site/apple-geek-squad-certified-refurbished-macbook-pro-15-display-intel-core-i7-16-gb-memory-512gb-flash-storage-space-gray/6530208.p?skuId=6530208,Not provided,2024-11-02 20:43:03,,,Intel 7th Generation Core i7,,,No,,Siri,,,16 gigabytes,,10 hours,Intel 7th Generation Core i7,,Space Gray,SSD,Mac OS,AMD Radeon,No,,,Apple,,,Stereo speakers with HD range,,Wi-Fi 5,,None,,,,,0,"Apple - Geek Squad Certified Refurbished MacBook Pro®  - 15"" Display - Intel Core i7 - 16 GB Memory - 512GB Flash Storage - Space Gray"
Intel Graphics,"Aspire Vero 16 AV16-51P-58KU-16"" WUXGA Eco-Friendly Laptop- Intel Core Ultra 5-8GB LPDDR5 Memory-512GB PCIe Gen 4 SSD",,,,,,,Lithium-ion,LPDDR5,,,Lithium-ion,,Yes,,10 hours,,2024,,,,,,,,,,,"1 x HDMI 2.1, 2 x Thunderbolt 4",,,,,Air,,,Yes,,,,,,,,1900 x 1200 (WUXGA),Integrated,3.97 pounds,Yes,,,,,,,,Yes,AV16-51P-58KU,512 gigabytes,"Wi-Fi, Bluetooth",195133264594,,Intel Graphics,,,1 year,,,,,Yes,IPS,,,512 gigabytes,IPS,,16 inches,1900 x 1200 (WUXGA),,16 inches,1 year,,Be the first to write a review,,,,400 nits,,,,,Yes,,yes,,,,,,No,Gold,,Yes,,$699.99Your price for this item is $699.99,,,,512 gigabytes,,LED,Intel,No,,,,,,,Kensington Security Slot (K-Slot),,,,400 nits,,,,,8 gigabytes,SSD,"1 x HDMI 2.1, 2 x Thunderbolt 4",,,,,,,https://www.bestbuy.com/site/acer-aspire-vero-16-av16-51p-58ku-16-wuxga-eco-friendly-laptop-intel-core-ultra-5-8gb-lpddr5-memory-512gb-pcie-gen-4-ssd-gray/6595665.p?skuId=6595665,Intel® Core Ultra 5 processor 125U,2024-11-02 20:43:09,,,Intel Core Ultra 5 Series 1,,,,,,Yes,,8 gigabytes,,10 hours,Intel Core Ultra 5 Series 1,,Gray,SSD,Windows 11 Home,Intel,,,,Acer,,,,,,,,,,,,,"Acer - Aspire Vero 16 AV16-51P-58KU-16"" WUXGA Eco-Friendly Laptop- Intel Core Ultra 5-8GB LPDDR5 Memory-512GB PCIe Gen 4 SSD - Gray"
Intel UHD Graphics,"14"" Laptop - Intel Pentium Silver - 4GB Memory - 128GB SSD",4-core (quad-core),,,,,"1 x USB-C 3.0, 2 x USB-A 3.0",Lithium-ion,DDR4,,,Lithium-ion,,Yes,,,,2023,,,,720p,,,,,12.76 inches,,1 x HDMI 1.4,3,None,,,,,,Yes,,,1,,,,,1366 x 768 (HD),Integrated,3.24 pounds,No,,microSD,,,No,,,Yes,14-dq0703dx,128 gigabytes,"Bluetooth, Wi-Fi",197961772944,,Intel UHD Graphics,,,1 year,,4.3,,,No,,Yes,,128 gigabytes,,,14 inches,1366 x 768 (HD),,14 inches,1 year,,(146 Reviews),,,45 watts,220 nits,,0.71 inches,,,Yes,,,,8.86 inches,,,,No,Silver,1.1 gigahertz,Yes,,$199.99Your price for this item is $199.99,,,,128 gigabytes,,LED,Intel,No,,,,,,,,,1.1 gigahertz,,220 nits,L2,,2400 megahertz,,4 gigabytes,SSD,1 x HDMI 1.4,,,,Silver,,,https://www.bestbuy.com/site/hp-14-laptop-intel-pentium-silver-4gb-memory-128gb-ssd-natural-silver/6570145.p?skuId=6570145,N5030,2024-11-02 20:43:14,,,Intel Pentium,,,,,,Yes,,4 gigabytes,3-cell,,Intel Pentium,,Natural Silver,SSD,Windows 11 Home in S Mode,Intel,No,,,HP,,4 megabytes,,3.1 gigahertz,Wi-Fi 5,,,,,,,,"HP - 14"" Laptop - Intel Pentium Silver - 4GB Memory - 128GB SSD - Natural Silver"
Intel Iris Xe Graphics,"Vivobook S Flip 16"" WUXGA Touchscreen Laptop - Intel 13th Gen Core i9 with 16GB Memory - 1TB SSD",14-core,"Aluminum, Plastic",,,,"1 x USB-A 2.0, 1 x USB-A 3.2, 1 x USB-C 3.2",Lithium-ion,DDR4,,,Lithium-ion,,Yes,,,,2023,,,,,,,,,13.98 inches,,1 x HDMI 2.1,3,,,,,60Hz,,,2,,1,60Hz,,,,1920 x 1200 (WUXGA),Integrated,4.19 pounds,No,,,,,No,,45 percent,,TP3604VA-EB94T,1000 gigabytes,,197105119260,,Intel Iris Xe Graphics,,,1 year,,4.3,,,No,IPS,,,1000 gigabytes,IPS,,16 inches,1920 x 1200 (WUXGA),,16 inches,1 year,,(28 Reviews),,,,300 nits,,0.77 inches,,,Yes,,yes,,9.94 inches,,,,Yes,Silver,,Yes,,$949.99Your price for this item is $949.99,2,,,1000 gigabytes,,LED,Intel,Yes,,,,,,,,,,,300 nits,,,3200 megahertz,,16 gigabytes,SSD,1 x HDMI 2.1,,,,Black,,,https://www.bestbuy.com/site/asus-vivobook-s-flip-16-wuxga-touchscreen-laptop-intel-13th-gen-core-i9-with-16gb-memory-1tb-ssd-midnight-black/6545931.p?skuId=6545931,13900H,2024-11-02 20:43:20,,,Intel 13th Generation Core i9,,,,,,,,16 gigabytes,3-cell,,Intel 13th Generation Core i9,,Midnight Black,SSD,Windows 11 Home,Intel,Yes,,,ASUS,,,,,,Yes,,,,,,,"ASUS - Vivobook S Flip 16"" WUXGA Touchscreen Laptop - Intel 13th Gen Core i9 with 16GB Memory - 1TB SSD - Midnight Black"
NVIDIA GeForce RTX 4070,"ProArt P16 16"" 4K Touch Screen Laptop - Copilot+ PC - AMD Ryzen AI 9 HX 370 - 32GB Memory - RTX 4070 - 2TB SSD",12-core,,No,,,"2 x USB-A 3.2, 1 x USB-C 3.2, 1 x USB-C 4",Lithium-ion,LPDDR5X,,,Lithium-ion,,No,,,,2024,,,,1080p,,None,,,9.72 inches,,1 x HDMI 2.1,4,None,,,Air,60Hz,,Yes,,,1,60Hz,,,,3840 x 2400,Dedicated,4.08 pounds,Yes,"MyASUS, ProArt Creator Hub, ScreenXpert, GlideX, MuseTree, StoryCube, CapCut",,,,Yes,,100 percent,,H7606WI-P16.R3704070,2000 gigabytes,"Wi-Fi, Bluetooth",197105613928,,NVIDIA GeForce RTX 4070,,GDDR6,1 year,,4.3,BE,,Yes,AMOLED,,,2000 gigabytes,AMOLED,,16 inches,3840 x 2400,,16 inches,1 year,,(16 Reviews),,,,500 nits,,0.68 inches,No,,Yes,PCIe 4.0,yes,No,13.97 inches,No,"DLSS 3 (Deep Learning Super Sampling), Ray tracing",,Yes,,2 gigahertz,Yes,,"$2,299.99Your price for this item is $2,299.99",,,,2000 gigabytes,Facial recognition,OLED,AMD,Yes,,,,8 gigabytes,,,,Copilot+ PC,2 gigahertz,,500 nits,,,7500 megahertz,,32 gigabytes,SSD,1 x HDMI 2.1,50 trillions operations per second,,,Black,,,https://www.bestbuy.com/site/asus-proart-p16-16-4k-touch-screen-laptop-copilot-pc-amd-ryzen-ai-9-hx-370-32gb-memory-rtx-4070-2tb-ssd-nano-black/6584434.p?skuId=6584434,AMD Ryzen 9 AI HX 370,2024-11-02 20:43:26,,,AMD Ryzen AI 300 Series,,,No,,,Yes,,32 gigabytes,4-cell,,AMD Ryzen AI 300 Series,,Nano Black,SSD,Windows 11 Home,NVIDIA,,No,,ASUS,,,Harman Kardon,5.1 gigahertz,Wi-Fi 7,No,,,,,,,"ASUS - ProArt P16 16"" 4K Touch Screen Laptop - Copilot+ PC - AMD Ryzen AI 9 HX 370 - 32GB Memory - RTX 4070 - 2TB SSD - Nano Black"
NVIDIA GeForce RTX 4060,"16.1"" 165Hz Full HD Gaming Laptop - Intel Core i9 - 16GB DDR5 Memory - NVIDIA GeForce RTX 4060 - 1TB SSD",24-core,Aluminum,,,,2 x USB-A 3.0,Lithium-ion polymer,DDR5,,,Lithium-ion polymer,,Yes,,7.75 hours,,2024,,,,1080p,,,,,14.53 inches,,"1 x HDMI 2.1, 2 x Thunderbolt 4",2,None,,,Air,165Hz,,Yes,,,1,165Hz,"Multi-touch, Gesture",,,1920 x 1080 (Full HD),Dedicated,5.29 pounds,Yes,,,,,No,,,Yes,16-wf0083dx,1024 gigabytes,"Bluetooth, Wi-Fi",198415724212,,NVIDIA GeForce RTX 4060,,GDDR6,1 year,36 megabytes,4.5,,,Yes,IPS,,,1024 gigabytes,IPS,,16.1 inches,1920 x 1080 (Full HD),,16.1 inches,1 year,,(59 Reviews),,,280 watts,300 nits,,0.93 inches,,,Yes,PCIe,yes,,10.21 inches,,,,No,Gold,,Yes,,"$1,399.99Your price for this item is $1,399.99",,,,1024 gigabytes,Privacy camera,LED,Intel,No,,,RGB,8 gigabytes,,,,,,,300 nits,L3,,5600 megahertz,,16 gigabytes,SSD,"1 x HDMI 2.1, 2 x Thunderbolt 4",,,,Black,,2,https://www.bestbuy.com/site/hp-omen-16-1-165hz-full-hd-gaming-laptop-intel-core-i9-16gb-ddr5-memory-nvidia-geforce-rtx-4060-1tb-ssd-shadow-black/6589390.p?skuId=6589390,13900HX,2024-11-02 20:43:31,,,Intel 13th Generation Core i9,,,,,,Yes,,16 gigabytes,6-cell,7.75 hours,Intel 13th Generation Core i9,,Shadow Black,SSD,Windows 11 Home,NVIDIA,,,,HP OMEN,,,,5.4 gigahertz,Wi-Fi 6E,,,,,G-SYNC (NVIDIA Adaptive Sync),,1,"HP OMEN - 16.1"" 165Hz Full HD Gaming Laptop - Intel Core i9 - 16GB DDR5 Memory - NVIDIA GeForce RTX 4060 - 1TB SSD - Shadow Black"
AMD Radeon 660M,"ThinkBook 16 G7 16"" Laptop - AMD Ryzen 5 with 8GB Memory - 256GB SSD",6-core,,,,,"2 x USB-A 3.2, 2 x USB-C 3.2",Lithium-ion polymer,DDR5,,,Lithium-ion polymer,,Yes,,,,2024,,,,,,,,,14.01 inches,,1 x HDMI 2.1,4,,,,,,,,,,,,,,,1920 x 1200 (WUXGA),Integrated,3.75 pounds,Yes,,,,,,,,,21MW0001US,256 gigabytes,,197530259906,,AMD Radeon 660M,,,1 year limited,,,,,Yes,,,,256 gigabytes,,,16 inches,1920 x 1200 (WUXGA),,16 inches,1 year limited,,Be the first to write a review,,,,300 nits,,,,,Yes,,yes,,9.98 inches,,,,No,Gold,,No,,$639.99Your price for this item is $639.99,,,,256 gigabytes,,,AMD,No,,,,,,,,,,,300 nits,,,,,8 gigabytes,SSD,1 x HDMI 2.1,,,,,,,https://www.bestbuy.com/site/lenovo-thinkbook-16-g7-16-laptop-amd-ryzen-5-with-8gb-memory-256gb-ssd-arctic-grey/6586762.p?skuId=6586762,7535HS,2024-11-02 20:43:36,,,AMD Ryzen 5 7000 Series,,,,,,,,8 gigabytes,,,AMD Ryzen 5 7000 Series,,Arctic Grey,SSD,Windows 11 Pro,AMD Radeon,,,,Lenovo,,,,,,,,,,,,,"Lenovo - ThinkBook 16 G7 16"" Laptop - AMD Ryzen 5 with 8GB Memory - 256GB SSD - Arctic Grey"
NVIDIA GeForce RTX 4050,"Cyborg 15 15.6"" 144Hz Gaming Laptop FHD - Intel i7-13620H with 16GB RAM - RTX 4050 with 6GB GDDR6 -  512GB NVMe SSD",,,,,,"1 x USB-C 3.2, 2 x USB-A 3.2, 1 x USB-A 2.0",Lithium-polymer,DDR5,,,Lithium-polymer,,No,,,,2023,,,,720p,,,,,9.86 inches,,1 x HDMI 2.1,4,,,,Air,144Hz,,Yes,2,,1,144Hz,,,,1920 x 1080 (Full HD),Dedicated,4.37 pounds,Yes,,,,,,,,Yes,Cyborg 15 A13VE-218US,512 gigabytes,,824142316214,,NVIDIA GeForce RTX 4050,,,1 year,,5.0,,,Yes,IPS,,,512 gigabytes,IPS,,15.6 inches,1920 x 1080 (Full HD),,15.6 inches,1 year,,(3 Reviews),,,,,,,,,Yes,,yes,,14.15 inches,,"DLSS 3 (Deep Learning Super Sampling), Ray tracing",,No,,,Yes,,$999.99Your price for this item is $999.99,2,,,512 gigabytes,,,Intel,No,,,,,,64 gigabytes,,,,,,,,5200 megahertz,,16 gigabytes,SSD,1 x HDMI 2.1,,,,Black,,,https://www.bestbuy.com/site/msi-cyborg-15-15-6-144hz-gaming-laptop-fhd-intel-i7-13620h-with-16gb-ram-rtx-4050-with-6gb-gddr6-512gb-nvme-ssd-black/6593260.p?skuId=6593260,13620H,2024-11-02 20:43:42,,,Intel 13th Generation Core i7,,,,,,,,16 gigabytes,3-cell,,Intel 13th Generation Core i7,,Black,SSD,Windows 11 Home,NVIDIA,,,,MSI,,,,,,,,,,,,,"MSI - Cyborg 15 15.6"" 144Hz Gaming Laptop FHD - Intel i7-13620H with 16GB RAM - RTX 4050 with 6GB GDDR6 -  512GB NVMe SSD - Black"
