Brand,Laptop_Model_Name,Laptop_Model_Number,Processor_Brand,Processor_Model,Storage_Type,Operating_System,Display_Resolution,Extracted_Rating,Battery_Life(Hours_Upto),Price,Stock,Time_Of_Extraction,URL,Source,Storage_Capacity(GB),Display_Size(Inches),RAM(GB),No_Of_Reviews,Laptop_Dimensions,Laptop_Weight(Pounds),No_of_Reviews
Dell,Inspiron 15 3000 3520,,Intel,Intel Core i5,SSD,Windows 11 Pro,1920x1080 Pixels,4.0,6.5,487.0,True,2024-11-04 18:24:26,https://www.amazon.com/Inspiron-Business-Touchscreen-i5-1155G7-Microsoft/dp/B0CTFMTHD8/ref=sr_1_636?dib=eyJ2IjoiMSJ9.V_7cZqgbAZmLoo0gHJVQ9q3_UsTKPr45oTho_8mXksP_yyWU3-PYIaezdIXerWZH5jjwBh7Vn7y5HdGQxR401VieExF4yOdAzHLbAsEadwYfL35A1yhgJ6Wrud9CGiWyOC30B6XLLnP4bp-89DKNdIPOcUHQt65FKFPlPifqxxBq6Ic4Zgwq9FBiXJP5_vBqeFnmpwE5yKy_hq3DTyHfU2TNz13yStMZuLX5PU79YIgJOa2F3UVpj-I10dt5Uon18QzJCPPszkSlGYMNvPSQT6zyEty4j_uOFrTKROsGXkI.B9qdh59aAPi7HsIj_Z9lgV7UqyC6heNiv1ICehBb4Vw&dib_tag=se&qid=1730676665&s=pc&sr=1-636,Amazon,2048,15.6,32,59,0.83 x 9.27 x 14.11 inches,5.0,
Dell,Dell Inspiron,Dell Inspiron 15,Intel,Core i5,SSD,Windows 11 Pro,1920 x 1080 Pixels,4.2,,689.99,True,2024-11-04 18:24:29,https://www.amazon.com/Dell-%E2%80%8EInspiron-Touchscreen-i5-1155G7-Processor/dp/B0DCGTGQWX/ref=sr_1_637?dib=eyJ2IjoiMSJ9.V_7cZqgbAZmLoo0gHJVQ9q3_UsTKPr45oTho_8mXksP_yyWU3-PYIaezdIXerWZH5jjwBh7Vn7y5HdGQxR401VieExF4yOdAzHLbAsEadwYfL35A1yhgJ6Wrud9CGiWyOC30B6XLLnP4bp-89DKNdIPOcUHQt65FKFPlPifqxxBq6Ic4Zgwq9FBiXJP5_vBqeFnmpwE5yKy_hq3DTyHfU2TNz13yStMZuLX5PU79YIgJOa2F3UVpj-I10dt5Uon18QzJCPPszkSlGYMNvPSQT6zyEty4j_uOFrTKROsGXkI.B9qdh59aAPi7HsIj_Z9lgV7UqyC6heNiv1ICehBb4Vw&dib_tag=se&qid=1730676665&s=pc&sr=1-637,Amazon,2048,15.6,32,3,0.78 x 9.31 x 14.14 inches,4.6,
HP,Slim,Slim,Intel,Pentium,SSD,Windows 11,1366 x 768 Pixels,4.0,11.5,399.0,True,2024-11-04 18:24:34,https://www.amazon.com/HP-Slim-Microsoft-Quad-Core-Processor/dp/B0D9GG9RR8/ref=sr_1_638?dib=eyJ2IjoiMSJ9.V_7cZqgbAZmLoo0gHJVQ9q3_UsTKPr45oTho_8mXksP_yyWU3-PYIaezdIXerWZH5jjwBh7Vn7y5HdGQxR401VieExF4yOdAzHLbAsEadwYfL35A1yhgJ6Wrud9CGiWyOC30B6XLLnP4bp-89DKNdIPOcUHQt65FKFPlPifqxxBq6Ic4Zgwq9FBiXJP5_vBqeFnmpwE5yKy_hq3DTyHfU2TNz13yStMZuLX5PU79YIgJOa2F3UVpj-I10dt5Uon18QzJCPPszkSlGYMNvPSQT6zyEty4j_uOFrTKROsGXkI.B9qdh59aAPi7HsIj_Z9lgV7UqyC6heNiv1ICehBb4Vw&dib_tag=se&qid=1730676665&s=pc&sr=1-638,Amazon,2048,14.0,32,333,8.80 x 0.70 x 12.70 inches,3.2,
OTVOC,VocBook 15 Pro,VocBook 15 Pro,Intel,Celeron,SSD,Windows 11 Home,1920x1080 Pixels,4.6,,279.99,True,2024-11-04 18:24:38,https://www.amazon.com/OTVOC-Windows-Celeron-JasperLake-1920x1080/dp/B0D9LX131M/ref=sr_1_639?dib=eyJ2IjoiMSJ9.V_7cZqgbAZmLoo0gHJVQ9q3_UsTKPr45oTho_8mXksP_yyWU3-PYIaezdIXerWZH5jjwBh7Vn7y5HdGQxR401VieExF4yOdAzHLbAsEadwYfL35A1yhgJ6Wrud9CGiWyOC30B6XLLnP4bp-89DKNdIPOcUHQt65FKFPlPifqxxBq6Ic4Zgwq9FBiXJP5_vBqeFnmpwE5yKy_hq3DTyHfU2TNz13yStMZuLX5PU79YIgJOa2F3UVpj-I10dt5Uon18QzJCPPszkSlGYMNvPSQT6zyEty4j_uOFrTKROsGXkI.B9qdh59aAPi7HsIj_Z9lgV7UqyC6heNiv1ICehBb4Vw&dib_tag=se&qid=1730676665&s=pc&sr=1-639,Amazon,512,15.6,16,5,0.90 x 9.45 x 14.16 inches,3.72,
Dell,Latitude 5410 Laptop,Latitude 5410 Laptop,Intel,Core i7,SSD,Windows 10 Pro,1920x1080 MP,,,459.83,True,2024-11-04 18:24:42,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4NDkxNTk5NDMzNDA3NDI6MTczMDY3NjY2NTpzcF9tdGZfYnJvd3NlOjMwMDUxNzA1NzgwNDQwMjo6MDo6&url=%2FDell-Latitude-5000-5410-Laptop%2Fdp%2FB096QWB4SR%2Fref%3Dsr_1_640_sspa%3Fdib%3DeyJ2IjoiMSJ9.V_7cZqgbAZmLoo0gHJVQ9q3_UsTKPr45oTho_8mXksP_yyWU3-PYIaezdIXerWZH5jjwBh7Vn7y5HdGQxR401VieExF4yOdAzHLbAsEadwYfL35A1yhgJ6Wrud9CGiWyOC30B6XLLnP4bp-89DKNdIPOcUHQt65FKFPlPifqxxBq6Ic4Zgwq9FBiXJP5_vBqeFnmpwE5yKy_hq3DTyHfU2TNz13yStMZuLX5PU79YIgJOa2F3UVpj-I10dt5Uon18QzJCPPszkSlGYMNvPSQT6zyEty4j_uOFrTKROsGXkI.B9qdh59aAPi7HsIj_Z9lgV7UqyC6heNiv1ICehBb4Vw%26dib_tag%3Dse%26qid%3D1730676665%26s%3Dpc%26sr%3D1-640-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGZfYnJvd3Nl%26psc%3D1,Amazon,128,14.0,8,0,0.80 x 12.72 x 8.50 inches,3.26,
Lenovo,IdeaPad Premium Series,IdeaPad Premium Series,Intel,Celeron,SSD,Windows 11 Home,1366 x 768 Pixels,4.6,,399.0,True,2024-11-04 18:24:55,https://www.amazon.com/Lenovo-Premium-Storage-External-Windows/dp/B0DJP626SB/ref=sr_1_643?dib=eyJ2IjoiMSJ9.V_7cZqgbAZmLoo0gHJVQ9q3_UsTKPr45oTho_8mXksP_yyWU3-PYIaezdIXerWZH5jjwBh7Vn7y5HdGQxR401VieExF4yOdAzHLbAsEadwYfL35A1yhgJ6Wrud9CGiWyOC30B6XLLnP4bp-89DKNdIPOcUHQt65FKFPlPifqxxBq6Ic4Zgwq9FBiXJP5_vBqeFnmpwE5yKy_hq3DTyHfU2TNz13yStMZuLX5PU79YIgJOa2F3UVpj-I10dt5Uon18QzJCPPszkSlGYMNvPSQT6zyEty4j_uOFrTKROsGXkI.B9qdh59aAPi7HsIj_Z9lgV7UqyC6heNiv1ICehBb4Vw&dib_tag=se&qid=1730676665&s=pc&sr=1-643,Amazon,640,15.6,12,23,0.70 x 9.29 x 14.18 inches,,
Dell,Dell 5590,Latitude 5590,Intel,Core i7-8650U,SSD,Windows 10 Pro,1920x1080,4.2,,296.0,True,2024-11-04 18:24:59,https://www.amazon.com/Dell-Latitude-5590-Professional-Refurbished/dp/B07H6LXXDV/ref=sr_1_644?dib=eyJ2IjoiMSJ9.V_7cZqgbAZmLoo0gHJVQ9q3_UsTKPr45oTho_8mXksP_yyWU3-PYIaezdIXerWZH5jjwBh7Vn7y5HdGQxR401VieExF4yOdAzHLbAsEadwYfL35A1yhgJ6Wrud9CGiWyOC30B6XLLnP4bp-89DKNdIPOcUHQt65FKFPlPifqxxBq6Ic4Zgwq9FBiXJP5_vBqeFnmpwE5yKy_hq3DTyHfU2TNz13yStMZuLX5PU79YIgJOa2F3UVpj-I10dt5Uon18QzJCPPszkSlGYMNvPSQT6zyEty4j_uOFrTKROsGXkI.B9qdh59aAPi7HsIj_Z9lgV7UqyC6heNiv1ICehBb4Vw&dib_tag=se&qid=1730676665&s=pc&sr=1-644,Amazon,512,15.6,16,191,0.90 x 9.90 x 14.80 inches,3.12,
acer,CB315-3HT,CB315-3HT,Intel,Celeron N4020,SSD,Chrome OS,1920x1080 Pixels,4.3,12.0,269.99,True,2024-11-04 18:25:05,https://www.amazon.com/Acer-Chromebook-Touchscreen-Dual-Core-Processor/dp/B08LBZRVLG/ref=sr_1_645?dib=eyJ2IjoiMSJ9.V_7cZqgbAZmLoo0gHJVQ9q3_UsTKPr45oTho_8mXksP_yyWU3-PYIaezdIXerWZH5jjwBh7Vn7y5HdGQxR401VieExF4yOdAzHLbAsEadwYfL35A1yhgJ6Wrud9CGiWyOC30B6XLLnP4bp-89DKNdIPOcUHQt65FKFPlPifqxxBq6Ic4Zgwq9FBiXJP5_vBqeFnmpwE5yKy_hq3DTyHfU2TNz13yStMZuLX5PU79YIgJOa2F3UVpj-I10dt5Uon18QzJCPPszkSlGYMNvPSQT6zyEty4j_uOFrTKROsGXkI.B9qdh59aAPi7HsIj_Z9lgV7UqyC6heNiv1ICehBb4Vw&dib_tag=se&qid=1730676665&s=pc&sr=1-645,Amazon,64,15.6,4,877,0.70 x 9.60 x 13.60 inches,2.76,
acer,Acer Chromebook Plus 514 Laptop CB514-3HT-R8RB,NX.KQ2AA.001,AMD,Ryzen 3,SSD,Chrome OS,1920x1200,4.5,12.0,338.0,True,2024-11-04 18:25:11,https://www.amazon.com/acer-Chromebook-Plus-Laptop-Google/dp/B0CRJPQ8V8/ref=sr_1_646?dib=eyJ2IjoiMSJ9.V_7cZqgbAZmLoo0gHJVQ9q3_UsTKPr45oTho_8mXksP_yyWU3-PYIaezdIXerWZH5jjwBh7Vn7y5HdGQxR401VieExF4yOdAzHLbAsEadwYfL35A1yhgJ6Wrud9CGiWyOC30B6XLLnP4bp-89DKNdIPOcUHQt65FKFPlPifqxxBq6Ic4Zgwq9FBiXJP5_vBqeFnmpwE5yKy_hq3DTyHfU2TNz13yStMZuLX5PU79YIgJOa2F3UVpj-I10dt5Uon18QzJCPPszkSlGYMNvPSQT6zyEty4j_uOFrTKROsGXkI.B9qdh59aAPi7HsIj_Z9lgV7UqyC6heNiv1ICehBb4Vw&dib_tag=se&qid=1730676665&s=pc&sr=1-646,Amazon,128,14.0,8,131,8.94 x 0.78 x 12.56 inches,3.2,
Lenovo,15-1i82QD,15-1i82QD,Intel,Intel Core i3,SSD,Windows 11 Pro,1920 x 1080 Pixels,4.5,,469.0,True,2024-11-04 18:25:15,https://www.amazon.com/Lenovo-Business-Microsoft-Lifetime-Touchscreen/dp/B0D8JQ9B5R/ref=sr_1_647?dib=eyJ2IjoiMSJ9.V_7cZqgbAZmLoo0gHJVQ9q3_UsTKPr45oTho_8mXksP_yyWU3-PYIaezdIXerWZH5jjwBh7Vn7y5HdGQxR401VieExF4yOdAzHLbAsEadwYfL35A1yhgJ6Wrud9CGiWyOC30B6XLLnP4bp-89DKNdIPOcUHQt65FKFPlPifqxxBq6Ic4Zgwq9FBiXJP5_vBqeFnmpwE5yKy_hq3DTyHfU2TNz13yStMZuLX5PU79YIgJOa2F3UVpj-I10dt5Uon18QzJCPPszkSlGYMNvPSQT6zyEty4j_uOFrTKROsGXkI.B9qdh59aAPi7HsIj_Z9lgV7UqyC6heNiv1ICehBb4Vw&dib_tag=se&qid=1730676665&s=pc&sr=1-647,Amazon,512,15.6,16,5,0.70 x 14.17 x 9.29 inches,3.52,
Z ZOLWAYTAC,N160MU2-AN,,Intel,Intel N100,SSD,Windows 11 Pro,1920x1200 Pixels,5.0,8.0,299.99,True,2024-11-04 18:25:19,https://www.amazon.com/Aluminum-Keyboard-Supports-Charging-SpaceGray/dp/B0D83MCT6H/ref=sr_1_648?dib=eyJ2IjoiMSJ9.V_7cZqgbAZmLoo0gHJVQ9q3_UsTKPr45oTho_8mXksP_yyWU3-PYIaezdIXerWZH5jjwBh7Vn7y5HdGQxR401VieExF4yOdAzHLbAsEadwYfL35A1yhgJ6Wrud9CGiWyOC30B6XLLnP4bp-89DKNdIPOcUHQt65FKFPlPifqxxBq6Ic4Zgwq9FBiXJP5_vBqeFnmpwE5yKy_hq3DTyHfU2TNz13yStMZuLX5PU79YIgJOa2F3UVpj-I10dt5Uon18QzJCPPszkSlGYMNvPSQT6zyEty4j_uOFrTKROsGXkI.B9qdh59aAPi7HsIj_Z9lgV7UqyC6heNiv1ICehBb4Vw&dib_tag=se&qid=1730676665&s=pc&sr=1-648,Amazon,512,16.0,16,4,0.71 x 9.59 x 14.20 inches,3.55,
Lenovo,ThinkBook,16 G7,Intel,Intel Core Ultra 5,SSD,Windows 11 Pro,1920 x 1200 Pixels,5.0,,859.0,True,2024-11-04 18:25:24,https://www.amazon.com/Lenovo-16-G7-Thunderbolt-Experience/dp/B0D9LKRWSV/ref=sr_1_649?dib=eyJ2IjoiMSJ9.V_7cZqgbAZmLoo0gHJVQ9q3_UsTKPr45oTho_8mXksP_yyWU3-PYIaezdIXerWZH5jjwBh7Vn7y5HdGQxR401VieExF4yOdAzHLbAsEadwYfL35A1yhgJ6Wrud9CGiWyOC30B6XLLnP4bp-89DKNdIPOcUHQt65FKFPlPifqxxBq6Ic4Zgwq9FBiXJP5_vBqeFnmpwE5yKy_hq3DTyHfU2TNz13yStMZuLX5PU79YIgJOa2F3UVpj-I10dt5Uon18QzJCPPszkSlGYMNvPSQT6zyEty4j_uOFrTKROsGXkI.B9qdh59aAPi7HsIj_Z9lgV7UqyC6heNiv1ICehBb4Vw&dib_tag=se&qid=1730676665&s=pc&sr=1-649,Amazon,2048,16.0,32,19,0.69 x 9.98 x 14.01 inches,3.75,
HP,HP Envy,HP Envy,Intel,Intel Core i7,SSD,Windows 11 Pro,1920 x 1080 Pixels,5.0,,1297.25,True,2024-11-04 18:25:27,https://www.amazon.com/HP-Envy-Touchscreen-i7-1355U-Keyboard/dp/B0DHJ416VH/ref=sr_1_650?dib=eyJ2IjoiMSJ9.V_7cZqgbAZmLoo0gHJVQ9q3_UsTKPr45oTho_8mXksP_yyWU3-PYIaezdIXerWZH5jjwBh7Vn7y5HdGQxR401VieExF4yOdAzHLbAsEadwYfL35A1yhgJ6Wrud9CGiWyOC30B6XLLnP4bp-89DKNdIPOcUHQt65FKFPlPifqxxBq6Ic4Zgwq9FBiXJP5_vBqeFnmpwE5yKy_hq3DTyHfU2TNz13yStMZuLX5PU79YIgJOa2F3UVpj-I10dt5Uon18QzJCPPszkSlGYMNvPSQT6zyEty4j_uOFrTKROsGXkI.B9qdh59aAPi7HsIj_Z9lgV7UqyC6heNiv1ICehBb4Vw&dib_tag=se&qid=1730676665&s=pc&sr=1-650,Amazon,4096,17.3,64,1,0.78 x 10.20 x 15.68 inches,5.49,
