Laptop_Brand,Laptop_Name,Processor_Company,Operating_System,Processor,Number_of_Reviews,Price,Storage_Type,Storage,Rating,Screen_Size,RAM,Source
TPV,AceBook,Intel,Windows 11 Pro,Core i5,13.0,309.99,SSD,512,4.5,15.6,16,Amazon
Lenovo,ThinkPad,Intel,Windows 11 Pro,Intel Core i5,14.0,1049.0,SSD,2048,4.0,16.0,24,Amazon
Lenovo,IdeaPad 1 15IJL7,Intel,Windows 11 Home,Celeron,396.0,359.0,SSD,512,4.5,15.6,12,Amazon
Lenovo,ThinkPad X1 Carbon Gen 11 Laptop PC,Intel,Windows 11 Pro,Core i7 Family,25.0,1374.77,SSD,2048,4.4,14.0,32,Amazon
Lenovo,Chromebook,MediaTek,Chrome OS,Mediatek Mt8173C,249.0,63.99,EMMC,32,4.4,11.6,4,Amazon
MSI,Katana 15 B13VGK-2000US,Intel,Windows 11 Home,Core i7,353.0,1290.68,SSD,2048,4.0,15.6,16,Amazon
Lenovo,ThinkPad E16 Gen 1,AMD,Windows 11 Pro,AMD R Series,23.0,617.99,SSD,512,4.4,16.0,16,Amazon
Dell,Latitude 7490,Intel,Windows 10 Pro,Core i7-8650U,81.0,249.99,SSD,512,4.6,14.0,16,Amazon
Apple,MacBook Pro,Intel,Mac OS,Core i5,599.0,323.27,SSD,256,4.5,13.0,8,Amazon
HP,HP,Intel,Windows 11,Core i3,346.0,436.99,SSD,2048,4.5,17.3,16,Amazon
Dell,Latitude,Intel,Windows 11 Pro,Intel Core i5,24.0,849.0,SSD,2048,4.3,15.6,16,Amazon
HP,Elitebook,Intel,Windows 11 Pro,Intel Core i7,5.0,1079.0,SSD,2048,4.0,16.0,32,Amazon
Zuleisy,VB16,Intel,Windows 11,Intel Mobile CPU,2.0,399.99,SSD,2048,4.5,16.0,16,Amazon
Lenovo,Lenovo V15-IKB,Intel,Windows 11 Pro,Core i7 Family,49.0,789.0,SSD,2048,4.3,15.6,24,Amazon
ASUS,Vivobook Go,AMD,Windows 11 Home,Ryzen 3,199.0,249.0,SSD,128,4.5,15.0,8,Amazon
Dell,Inspiron,Intel,Windows 11,Core i5 Family,355.0,414.97,SSD,256,4.5,15.6,12,Amazon
HEWLETT PACKARD,HP Probook,Intel,Windows 10 Pro,Intel Core i5,5.0,144.99,SSD,256,4.5,11.6,8,Amazon
Dell,dell 3100,Intel,Chrome OS,Celeron N4000,349.0,59.53,HDD,16,4.4,11.6,4,Amazon
HP,HP Flagship,Intel,Windows 11,Celeron N,8.0,369.99,SSD,128,4.3,14.0,16,Amazon
Apple,MacBook Pro,Intel,macOS 10.14 Mojave,Core i5,44.0,269.0,SSD,128,4.6,13.3,8,Amazon
Lenovo,IdeaPad 3 81X800ENUS,Intel,Windows 11,Core i3,104.0,323.95,SSD,256,4.5,15.6,20,Amazon
Lenovo,Lenovo V15 G4 ABP,AMD,Windows 11 Pro,AMD Ryzen 7,52.0,699.0,SSD,2048,4.4,15.6,40,Amazon
Lenovo,V15,Intel,Windows 11 Pro,Celeron,348.0,549.0,SSD,2048,4.4,15.6,32,Amazon
Dell,Inspiron,Intel,Windows 11 Home,Core i5 Family,405.0,501.35,SSD,2048,4.4,15.6,32,Amazon
Lenovo,Lenovo Ideapad 1i,Intel,Windows 11,Celeron N4020,536.0,158.89,EMMC,64,4.5,14.0,4,Amazon
Lenovo,ThinkBook 16 G4+ IAP,Intel,Windows 11 Pro,Intel Mobile CPU,0.0,1069.0,SSD,2048,4.4,16.0,32,Amazon
acer,Aspire,Intel,Windows 11 Pro,Core i5,0.0,579.99,SSD,4096,4.4,15.6,8,Amazon
Oemgenuine,ThinkPad E15 Gen 2,AMD,Windows 10 Pro,Ryzen 5 4500U,2.0,829.95,SSD,512,4.4,15.6,16,Amazon
ZHAOHUIXIN,PC1068,Alwinner,Android,A13,1.0,119.99,EMMC,64,4.4,10.1,2,Amazon
TPV,AceBook,Intel,Windows 11 Pro,Core i5,13.0,309.99,SSD,512,4.5,15.6,16,Amazon
Zuleisy,VB16,Intel,Windows 11,Intel Mobile CPU,2.0,399.99,SSD,2048,4.5,16.0,16,Amazon
MSI,Raider GE76 12UE-871,Intel,Windows 11 Home,Core i9,39.0,1199.99,SSD,2048,4.4,17.3,16,Amazon
Apple,MacBook Pro,Intel,"macOS Catalina (version 10,15)",Core i5,540.0,488.5,SSD,512,4.4,13.3,16,Amazon
Apple,MacBook Pro,Apple,Mac OS,Apple M1,617.0,523.74,SSD,256,4.4,13.3,8,Amazon
Lenovo,ThinkPad E14 Gen 5,AMD,Windows 11 Pro,Ryzen 7,79.0,664.0,SSD,512,4.4,14.0,16,Amazon
Apple,MKGP3LL/A,Apple,Mac OS,Apple M1,616.0,999.99,SSD,512,4.4,14.0,16,Amazon
ACEMAGIC,AX16PRO,AMD,Windows 11,AMD Ryzen 7,7.0,599.99,SSD,512,4.4,16.1,16,Amazon
acer,Aspire,Intel,Windows 11 Pro,Core i5,0.0,579.99,SSD,4096,4.4,15.6,8,Amazon
HP,TPN-Q287,AMD,Windows 11 Pro,Ryzen 7,21.0,575.1,SSD,2048,4.4,15.6,16,Amazon
Dell,Latitude,Intel,Windows 11 Pro,Intel Core i5,10.0,1296.71,SSD,4096,4.0,15.6,64,Amazon
Apple,Macbook pro,Intel,Mac OS,Intel Core i9,531.0,573.99,SSD,2048,4.4,16.0,16,Amazon
Dell,nspiron 15 3530,Intel,Windows 11 Pro,Core i7 Family,42.0,709.99,SSD,2048,3.8,15.6,32,Amazon
HP,HP Envy,Intel,Windows 11 Home,Core i7,44.0,670.0,SSD,2048,4.4,14.0,16,Amazon
SGIN,SGIN-M15N,Intel,11,Celeron,18.0,169.98,SSD,128,4.5,15.6,4,Amazon
HP,HP 15 Laptop,Intel,Windows 11,Pentium,75.0,241.5,SSD,128,4.5,15.6,16,Amazon
Dell,Dell inspiron,Intel,Windows 11 Pro,Core i5,62.0,649.99,SSD,2048,4.4,15.6,32,Amazon
HP,HP Notebook,Intel,Windows 11 Home,Core i5,442.0,378.0,SSD,256,4.3,15.0,8,Amazon
HP,HP Stream,Intel,Windows 11 S,Celeron,928.0,309.0,EMMC,128,4.2,14.0,16,Amazon
Apple,MacBook Air,Intel,Catalina,Core i3,282.0,379.0,SSD,128,4.3,13.3,8,Amazon
HP,"HP 15"" Laptop",Intel,Windows 11,Pentium,878.0,207.26,SSD,128,4.5,15.0,8,Amazon
HP,HP Essential,Intel,Windows 11 Home,Pentium N5000,0.0,379.0,SSD,2048,4.5,14.0,8,Amazon
Dell,Latitude,Intel,Windows 11 Pro,Intel Core i7,38.0,1299.0,SSD,2048,4.0,15.6,16,Amazon
SAIWAN,A1407N,Intel,Windows 10,Celeron N3350,0.0,149.0,EMMC,64,4.6,14.1,6,Amazon
ZHAOHUIXIN,PC1068,Alwinner,Android,A13,1.0,119.99,EMMC,64,4.4,10.1,2,Amazon
jumper,EZbook S5,Intel,Windows 11,Celeron,12.0,409.99,SSD,512,4.5,14.0,12,Amazon
Dell,Latitude,Intel,Windows 11 Pro,Intel Core i5,24.0,959.0,SSD,2048,4.1,15.6,16,Amazon
acer,Acer Laptop,Intel,Chrome OS,Celeron,94.0,187.4,EMMC,64,4.4,15.6,4,Amazon
HP,HP,Intel,Windows 11,Pentium,22.0,369.99,SSD,2048,4.5,14.0,16,Amazon
Apple,MacBook Air,Apple,Mac OS,Apple M2,85.0,849.5,SSD,256,4.3,15.0,8,Amazon
HP,TPN-I140_799**AV,AMD,Windows 11 Home,Ryzen 5,146.0,626.88,SSD,2048,4.4,17.3,32,Amazon
Dell,Dell Latitude 7490,Intel,Windows 10 Pro,Core i5,527.0,200.0,SSD,256,4.5,14.1,16,Amazon
Apple,Macbook Air,Intel,macOS 10.12 Sierra,Core i5-5250U,600.0,149.99,SSD,128,4.4,13.3,8,Amazon
Lenovo,IdeaPad 3i,Intel,Windows 11 Pro,Intel Core i3,14.0,799.99,SSD,2048,3.4,15.6,24,Amazon
HP,laptop,Intel,Windows 11,Intel Pentium 4,195.0,399.0,SSD,128,4.3,15.6,16,Amazon
HP,TPN-I139_320M3AV,Intel,Windows 11 Home,Core i3 Family,180.0,360.0,SSD,256,4.3,17.3,8,Amazon
Dell,"Dell 11"" Chromebook",Intel,Chrome OS,Celeron,864.0,66.99,SSD,16,4.4,11.0,4,Amazon
Dell,Latitude,Intel,Windows 10 Pro,Intel Core i5,0.0,749.0,SSD,4096,4.3,14.0,32,Amazon
TPV,AceBook,Intel,Windows 11 Pro,Core i5,13.0,309.99,SSD,512,4.5,15.6,16,Amazon
HP,TPN-Q284_632**AV,Intel,Windows 11 Home,Pentium,606.0,308.98,SSD,128,4.2,15.6,16,Amazon
ASUS,VivoBook 16,AMD,Windows 11 Home,Ryzen 7,68.0,499.99,SSD,2048,4.4,16.0,16,Amazon
HP,HP 14inch Chromebook,AMD,Chrome OS,AMD A4,626.0,79.95,SSD,32,4.0,14.0,4,Amazon
HP,Essential,Intel,Windows 11 S,Celeron,18.0,399.99,SSD,256,4.3,15.6,32,Amazon
Dell,Inspiron,Intel,Windows 11 Pro,Core i5,9.0,679.0,SSD,2048,4.4,15.6,64,Amazon
HP,hp eg2000,Intel,Windows 11,Core i7 Family,124.0,779.99,SSD,2048,4.5,15.6,32,Amazon
HP,2024 HP 17 Pavilion Laptop,Intel,Windows 11 Pro,Core i3,56.0,549.0,SSD,2048,4.4,17.3,32,Amazon
Lenovo,Laptop,Intel,Windows 11 Home,Pentium,117.0,360.99,SSD,2048,4.5,15.6,16,Amazon
Dell,Dell 11.6inch Chromebook,Intel,Chrome OS,Celeron,380.0,68.0,SSD,16,4.5,11.6,4,Amazon
ASUS,2026 Flagship ASUS Vivobook 14,Intel,Windows 11 Pro,Core i3,0.0,399.0,SSD,512,4.5,14.0,16,Amazon
Dell,Latitude,Intel,Windows 11 Pro,Intel Core i7,1.0,729.0,SSD,4096,1.0,14.0,64,Amazon
Oemgenuine,ThinkPad E15 Gen 2,AMD,Windows 10 Pro,Ryzen 5 4500U,2.0,829.95,SSD,512,4.4,15.6,16,Amazon
ZHAOHUIXIN,PC1068,Alwinner,Android,A13,1.0,119.99,EMMC,64,4.4,10.1,2,Amazon
HP,Elitebook,Intel,Windows 11 Pro,Intel Core i7,5.0,1169.0,SSD,2048,4.4,16.0,64,Amazon
TPV,AceBook,Intel,Windows 11 Pro,Core i5,13.0,309.99,SSD,512,4.5,15.6,16,Amazon
HP,Chromebook 15,Intel,Chrome OS,Pentium,59.0,299.98,EMMC,128,4.6,15.6,8,Amazon
HP,TPN-I139_4V788AV,Intel,Windows 11 Home,Core i7 Family,364.0,919.59,SSD,4096,4.1,17.3,64,Amazon
Apple,MacBook Air,Apple,macOs Ventura,Unknown,460.0,769.0,SSD,256,4.3,13.6,8,Amazon
HP,ProBook 450 G10,Intel,Windows 11 Pro,Core i7,4.0,769.0,SSD,512,4.5,15.6,16,Amazon
Apple,MacBook Pro,Intel,macOS 10.12 Sierra,Core i5,623.0,379.0,SSD,256,4.3,13.3,8,Amazon
Lenovo,Legion 5i,Intel,Windows 11 Home,Core i7,40.0,1551.5,SSD,512,4.0,16.0,32,Amazon
Lenovo,ThinkPad E16,AMD,Windows 11 Pro,AMD Ryzen 7,61.0,848.0,SSD,4096,4.3,16.0,40,Amazon
Apple,MacBook Pro,Intel,Mac OS,Core i5,62.0,429.0,SSD,256,4.5,13.3,16,Amazon
Lenovo,Lenovo IdeaPad 1 Laptop,Intel,Windows 11 S,Celeron,33.0,174.99,EMMC,128,4.5,14.0,4,Amazon
ASUS,5Z8N,Intel,Windows 11 Home,Core i3 Family,12.0,311.85,SSD,512,4.2,14.0,16,Amazon
Dell,Inspiron 15 3511,Intel,Windows 11 Home,Core i3 Family,391.0,343.99,SSD,256,4.5,15.6,8,Amazon
Lenovo,Lenovo Thinkpad,AMD,Windows 10 Pro,AMD Ryzen 7,0.0,479.0,SSD,512,4.4,15.6,16,Amazon
Lenovo,ThinkPad,Intel,Windows 11 Pro,Intel Core i5,14.0,1269.0,SSD,8192,4.0,16.0,40,Amazon
Dell,Latitude,Intel,Windows 10 Pro,Intel Core i5,0.0,749.0,SSD,4096,4.3,14.0,32,Amazon
HP,HP Chromebook x360 14b-cd0010nr,Intel,Chrome OS,Core i3,577.0,469.99,SSD,128,4.4,14.0,8,Amazon
ASUS,Vivobook Go,Intel,Windows 11 Home,Celeron,704.0,219.99,SSD,128,4.5,11.6,4,Amazon
ACEMAGIC,AX15,Intel,window11,Intel Mobile CPU,17.0,359.98,SSD,512,4.3,15.6,16,Amazon
Apple,MacBook Pro,Intel,Mac OS,Core i7,314.0,341.0,SSD,512,4.5,15.0,16,Amazon
MSI,Thin 15 B12UCX-2041US,Intel,Windows 11 Home,Intel Core i5,873.0,595.0,SSD,512,4.4,15.6,16,Amazon
Apple,MacBook Air,Intel,Mac OS,Core i5,208.0,179.0,SSD,128,4.4,13.3,4,Amazon
HP,HP Stream,Intel,Windows 11 S,Celeron N,210.0,296.65,EMMC,64,4.6,14.0,16,Amazon
acer,Chromebook Spin 311,Intel,Chrome OS,Celeron,242.0,229.0,SSD,32,4.5,11.6,4,Amazon
Lenovo,Legion Pro 7i Gen 9,Intel,Windows 11 Pro,Intel Core i9,8.0,2550.0,SSD,4096,4.3,16.0,32,Amazon
Zuleisy,VB16,Intel,Windows 11,Intel Mobile CPU,2.0,399.99,SSD,2048,4.5,16.0,16,Amazon
HP,TPN-C164,Intel,Windows 11 Pro,Intel Mobile CPU,0.0,1492.91,SSD,2048,4.0,17.3,32,Amazon
acer,Aspire,Intel,Windows 11 Pro,Core i5,0.0,579.99,SSD,4096,4.4,15.6,8,Amazon
ZHAOHUIXIN,PC1068,Alwinner,Android,1.8 GHz a13,1.0,119.99,EMMC,64,4.5,10.1,2,Amazon
HP,Elitebook,Intel,Windows 11 Pro,Intel Core i7,5.0,1229.0,SSD,4096,4.0,16.0,64,Amazon
Lenovo,ThinkPad,Intel,Windows 11 Pro,Intel Core i5,14.0,1049.0,SSD,2048,4.0,16.0,24,Amazon
Apple,MacBook Air,Intel,Mac OS,Core i5,208.0,179.0,SSD,128,4.4,13.3,4,Amazon
Dell,3180 chromebook,Intel,Chrome OS,Celeron,300.0,83.59,SSD,32,4.4,11.6,4,Amazon
Apple,MacBook Pro,Intel,Mac OS,Core i7,314.0,341.0,SSD,512,4.5,15.0,16,Amazon
HP,HP Pro,Intel,Windows 11,Celeron,329.0,169.99,SSD,64,4.5,14.0,4,Amazon
HP,TPN-Q245,Intel,Windows 11 Pro,Core i7 Family,71.0,812.0,SSD,2048,4.4,15.6,32,Amazon
HP,HP 14inch laptop,Intel,Chrome OS,Core i3,81.0,379.0,SSD,2048,4.3,15.6,16,Amazon
HP,HP,Intel,Windows 11,Pentium,13.0,299.99,SSD,128,4.6,15.6,16,Amazon
Apple,MK193LL/A,Apple,Mac OS,Apple M1,577.0,1294.95,SSD,2048,4.4,16.0,16,Amazon
HP,HP,Intel,Windows 11 Home,Pentium,52.0,579.0,SSD,2048,4.4,17.3,16,Amazon
HP,Essential,Intel,Windows 11 Pro,Core i5,97.0,569.99,SSD,2048,4.1,15.6,32,Amazon
TPV,AceBook,Intel,Windows 11 Pro,Core i5,13.0,309.99,SSD,512,4.5,15.6,16,Amazon
Zuleisy,VB16,Intel,Windows 11,Intel Mobile CPU,2.0,399.99,SSD,2048,4.5,16.0,16,Amazon
acer,Aspire,Intel,Windows 11 Pro,Core i5,0.0,579.99,SSD,4096,4.4,15.6,8,Amazon
Apple,MacBook Air,Intel,OS X 10.10 Yosemite,Core i5,574.0,324.99,SSD,128,4.3,13.3,8,Amazon
Dell,XPS 13 9315,Intel,Windows 11 Pro,Core i7,7.0,1399.0,SSD,512,4.4,13.4,16,Amazon
Apple,MacBook Air,Apple,Mac OS,Unknown,488.0,739.99,SSD,256,4.5,13.6,8,Amazon
ASUS,G834JZR-XS96,Intel,Windows 11 Pro,Core i9,144.0,2781.05,SSD,2048,4.0,18.0,32,Amazon
ACEMAGIC,AX15,Intel,window11,Intel Mobile CPU,17.0,359.98,SSD,512,4.3,15.6,16,Amazon
HP,HP Chromebook,AMD,Chrome OS,AMD A Series,475.0,64.0,SSD,32,4.4,16.0,4,Amazon
Lenovo,500w Gen 3,Intel,Windows 11 Home,Core m3-8100Y,174.0,299.99,SSD,256,4.6,11.6,8,Amazon
HP,HP Spectre x360,Intel,Chrome OS,Celeron N4020,562.0,149.99,SSD,64,4.5,14.0,4,Amazon
HP,"HP 15.6""",Intel,Windows 11,Intel Core i5,201.0,464.99,SSD,2048,4.4,15.6,16,Amazon
Dell,Dell latitude 5420 Laptop,Intel,Windows 10 Pro,Core i7,32.0,359.78,SSD,512,4.3,14.0,16,Amazon
Lenovo,ThinkPad,Intel,Windows 11 Pro,Intel Core i5,22.0,899.0,SSD,2048,4.3,16.0,24,Amazon
Dell,Latitude,Intel,Windows 10 Pro,Intel Core i5,0.0,749.0,SSD,4096,4.3,14.0,32,Amazon
Dell,Dell Inspiron,AMD,Windows 11 Pro,1.2GHz Cortex A8 Processor,0.0,649.0,SSD,2048,4.4,15.6,36,Amazon
ZHAOHUIXIN,PC1068,Alwinner,Android,1.8 GHz a13,1.0,119.99,EMMC,64,4.5,10.1,2,Amazon
Lenovo,ThinkBook 16 G4+ IAP,Intel,Windows 11 Pro,Intel Mobile CPU,1.0,1159.0,SSD,4096,4.4,16.0,64,Amazon
HP,Elitebook,Intel,Windows 11 Pro,Intel Core i7,5.0,1079.0,SSD,2048,4.0,16.0,32,Amazon
acer,Aspire,AMD,Windows 11 Pro,Ryzen 5,518.0,689.0,SSD,2048,4.4,15.6,32,Amazon
acer,Acer Chromebook,MediaTek,Chrome OS,MediaTek MT8183,12.0,89.99,SSD,32,4.6,11.6,4,Amazon
ASUS,Asus,Intel,Windows 10,Celeron,651.0,150.88,EMMC,64,4.5,14.0,4,Amazon
MSI,MSI GF63,Intel,Windows 11,Core i5 Family,134.0,635.0,SSD,512,4.4,15.6,16,Amazon
Microsoft,Surface Laptop Go 3,Intel,Windows 11 Home,Core i5-1235U,104.0,749.0,SSD,256,4.5,12.45,8,Amazon
ApoloSign,NJP1561P,Intel,Windows 11 Home,Celeron N,32.0,649.99,SSD,512,4.4,15.6,12,Amazon
Dell,Dell G Series 16 7630 Laptop,Intel,Windows 11 Home,Core i9,11.0,1535.3,SSD,2048,4.0,16.0,16,Amazon
Dell,dell 5480,Intel,Windows 10 Pro,Intel Core i5,600.0,155.0,SSD,256,4.5,14.0,8,Amazon
HP,14-dq0070nr,Intel,Windows 11 S,Celeron N4020,859.0,240.99,EMMC,4,4.5,14.0,4,Amazon
Dell,DELL XPS 15 9530,Intel,Windows 11 Pro,Core i7,15.0,1576.75,SSD,2048,4.4,15.6,32,Amazon
Apple,MacBook Pro,Intel,macOS 10.13 High Sierra,Core i7,149.0,398.99,SSD,512,4.4,15.0,16,Amazon
HP,TPN-Q287,AMD,Windows 11 Pro,Ryzen 7,21.0,529.0,SSD,512,4.4,15.6,16,Amazon
Dell,Latitude,Intel,Windows 11 Pro,Intel Core i5,24.0,849.0,SSD,2048,4.3,15.6,16,Amazon
Dell,Latitude,Intel,Windows 11 Pro,Intel Core i7,2.0,729.0,SSD,4096,5.0,14.0,32,Amazon
Lenovo,Ideapad 3i,Intel,Windows 11 Pro,Core i5,600.0,422.0,SSD,512,4.5,15.6,8,Amazon
Apple,MacBook Pro,Apple,Mac OS,Others,69.0,1639.99,SSD,2048,4.4,16.2,32,Amazon
ASUS,FX607JV-ES73,Intel,Windows 11 Home,Core i7,1.0,1029.99,SSD,512,4.0,16.0,16,Amazon
Dell,Latitude,Intel,Windows 11 Pro,Intel Core i7,38.0,1189.0,SSD,2048,4.0,15.6,32,Amazon
