Laptop_Brand,Laptop_Name,Processor_Company,Operating_System,Processor,Number_of_Reviews,Price,Storage_Type,Rating,Screen_Size,RAM,Source
MSI,Katana A17 AI B8VG-879US,AMD,Windows 11 Home,Ryzen 9,233,1699.99,SSD,4.0,17.3,64,Amazon
HP,HP 14inch Laptop,Intel,Windows 11,Celeron,996,152.0,SSD,4.5,14.0,4,Amazon
HP,HP 14inch Laptop,Intel,Windows 11,Celeron,421,168.93,SSD,4.5,14.0,4,Amazon
acer,NH.QLLAA.002,AMD,Windows 11 Home,AMD Ryzen 7,379,957.47,SSD,4.1,16.0,16,Amazon
acer,Predator Helios Neo 16 Gaming Laptop,Intel,Windows 11 Home,Intel Core i7,960,1109.0,SSD,4.0,16.0,16,Amazon
HP,TPN-Q221,Intel,Windows 11 Home,Celeron,480,217.99,SSD,4.5,14.0,16,Amazon
acer,Aspire,Intel,Windows 11 Pro,Core i5,0,579.99,SSD,4.4,15.6,8,Amazon
Dell,Latitude,Intel,Windows 11 Pro,Intel Core i5,10,1296.71,SSD,4.0,15.6,64,Amazon
HP,HP Essential,Intel,Windows 11 Home,Pentium N5000,0,379.0,SSD,4.5,14.0,8,Amazon
acer,Swift Go 14,Intel,Windows 11 Home,Intel Core i7-1355U,283,599.99,SSD,4.4,14.0,16,Amazon
ASUS,ROG Strix G16,Intel,Windows 11 Home,Core i9,494,1871.64,SSD,4.0,16.0,16,Amazon
Apple,Macbook Pro,Intel,Mac OS,Core i5-4278U,44,249.97,SSD,4.6,13.3,8,Amazon
Lenovo,IdeaPad,Intel,Windows 11 Home,Core i3,594,327.98,SSD,4.5,15.6,12,Amazon
Apple,MacBook Air,Apple,Mac OS,Unknown,968,472.0,SSD,4.4,13.3,8,Amazon
HP,Pavilion,Intel,Windows 11,Core i3,43,599.0,SSD,4.4,15.6,32,Amazon
HP,HP Chromebook,Intel,Chrome OS,Celeron N,428,148.9,EMMC,4.2,14.0,4,Amazon
ASUS,TUF Gaming A15,AMD,Windows 11 Home,Ryzen 5,630,761.13,SSD,4.3,15.6,8,Amazon
Apple,MacBook Pro,Intel,Mac OS 9,Unknown,869,499.0,SSD,4.4,16.0,16,Amazon
ASUS,ASUS 15.5 Laptop,Intel,Windows 11 Home,Celeron,48,171.99,SSD,4.5,15.5,4,Amazon
acer,"Acer 15"" Laptop",Intel,Chrome OS,Celeron N,174,151.99,EMMC,4.5,15.0,4,Amazon
HP,hp laptop,Intel,Windows 11 Home,Intel Core i3,693,411.74,SSD,4.5,15.6,16,Amazon
HP,TPN-Q287,AMD,Windows 11 Pro,Ryzen 7,21,575.1,SSD,4.4,15.6,16,Amazon
Molegar,2024 Latest Laptop Computer,Intel,Windows 11,Celeron N5095,5,499.99,SSD,4.4,15.6,16,Amazon
Dell,Latitude,Intel,Windows 11 Pro,Intel Core i5,6,1349.0,SSD,4.0,15.6,64,Amazon
ZHAOHUIXIN,PC1068,Alwinner,Android,A13,1,119.99,EMMC,4.4,10.1,2,Amazon
TPV,AceBook,Intel,Windows 11 Pro,Core i5,13,309.99,SSD,4.5,15.6,16,Amazon
Lenovo,ThinkPad,Intel,Windows 11 Pro,Intel Core i5,14,1049.0,SSD,4.0,16.0,24,Amazon
Lenovo,IdeaPad 1 15IJL7,Intel,Windows 11 Home,Celeron,396,359.0,SSD,4.5,15.6,12,Amazon
Lenovo,ThinkPad X1 Carbon Gen 11 Laptop PC,Intel,Windows 11 Pro,Core i7 Family,25,1374.77,SSD,4.4,14.0,32,Amazon
Lenovo,Chromebook,MediaTek,Chrome OS,Mediatek Mt8173C,249,63.99,EMMC,4.4,11.6,4,Amazon
MSI,Katana 15 B13VGK-2000US,Intel,Windows 11 Home,Core i7,353,1290.68,SSD,4.0,15.6,16,Amazon
Lenovo,ThinkPad E16 Gen 1,AMD,Windows 11 Pro,AMD R Series,23,617.99,SSD,4.4,16.0,16,Amazon
Dell,Latitude 7490,Intel,Windows 10 Pro,Core i7-8650U,81,249.99,SSD,4.6,14.0,16,Amazon
Apple,MacBook Pro,Intel,Mac OS,Core i5,599,323.27,SSD,4.5,13.0,8,Amazon
HP,HP,Intel,Windows 11,Core i3,346,436.99,SSD,4.5,17.3,16,Amazon
Dell,Latitude,Intel,Windows 11 Pro,Intel Core i5,24,849.0,SSD,4.3,15.6,16,Amazon
HP,Elitebook,Intel,Windows 11 Pro,Intel Core i7,5,1079.0,SSD,4.0,16.0,32,Amazon
Zuleisy,VB16,Intel,Windows 11,Intel Mobile CPU,2,399.99,SSD,4.5,16.0,16,Amazon
Lenovo,Lenovo V15-IKB,Intel,Windows 11 Pro,Core i7 Family,49,789.0,SSD,4.3,15.6,24,Amazon
ASUS,Vivobook Go,AMD,Windows 11 Home,Ryzen 3,199,249.0,SSD,4.5,15.0,8,Amazon
Dell,Inspiron,Intel,Windows 11,Core i5 Family,355,414.97,SSD,4.5,15.6,12,Amazon
HEWLETT PACKARD,HP Probook,Intel,Windows 10 Pro,Intel Core i5,5,144.99,SSD,4.5,11.6,8,Amazon
Dell,dell 3100,Intel,Chrome OS,Celeron N4000,349,59.53,HDD,4.4,11.6,4,Amazon
HP,HP Flagship,Intel,Windows 11,Celeron N,8,369.99,SSD,4.3,14.0,16,Amazon
Apple,MacBook Pro,Intel,macOS 10.14 Mojave,Core i5,44,269.0,SSD,4.6,13.3,8,Amazon
Lenovo,IdeaPad 3 81X800ENUS,Intel,Windows 11,Core i3,104,323.95,SSD,4.5,15.6,20,Amazon
Lenovo,Lenovo V15 G4 ABP,AMD,Windows 11 Pro,AMD Ryzen 7,52,699.0,SSD,4.4,15.6,40,Amazon
Lenovo,V15,Intel,Windows 11 Pro,Celeron,348,549.0,SSD,4.4,15.6,32,Amazon
Dell,Inspiron,Intel,Windows 11 Home,Core i5 Family,405,501.35,SSD,4.4,15.6,32,Amazon
Lenovo,Lenovo Ideapad 1i,Intel,Windows 11,Celeron N4020,536,158.89,EMMC,4.5,14.0,4,Amazon
Lenovo,ThinkBook 16 G4+ IAP,Intel,Windows 11 Pro,Intel Mobile CPU,0,1069.0,SSD,4.4,16.0,32,Amazon
acer,Aspire,Intel,Windows 11 Pro,Core i5,0,579.99,SSD,4.4,15.6,8,Amazon
Oemgenuine,ThinkPad E15 Gen 2,AMD,Windows 10 Pro,Ryzen 5 4500U,2,829.95,SSD,4.4,15.6,16,Amazon
ZHAOHUIXIN,PC1068,Alwinner,Android,A13,1,119.99,EMMC,4.4,10.1,2,Amazon
TPV,AceBook,Intel,Windows 11 Pro,Core i5,13,309.99,SSD,4.5,15.6,16,Amazon
Zuleisy,VB16,Intel,Windows 11,Intel Mobile CPU,2,399.99,SSD,4.5,16.0,16,Amazon
MSI,Raider GE76 12UE-871,Intel,Windows 11 Home,Core i9,39,1199.99,SSD,4.4,17.3,16,Amazon
Apple,MacBook Pro,Intel,"macOS Catalina (version 10,15)",Core i5,540,488.5,SSD,4.4,13.3,16,Amazon
Apple,MacBook Pro,Apple,Mac OS,Apple M1,617,523.74,SSD,4.4,13.3,8,Amazon
Lenovo,ThinkPad E14 Gen 5,AMD,Windows 11 Pro,Ryzen 7,79,664.0,SSD,4.4,14.0,16,Amazon
Apple,MKGP3LL/A,Apple,Mac OS,Apple M1,616,999.99,SSD,4.4,14.0,16,Amazon
ACEMAGIC,AX16PRO,AMD,Windows 11,AMD Ryzen 7,7,599.99,SSD,4.4,16.1,16,Amazon
acer,Aspire,Intel,Windows 11 Pro,Core i5,0,579.99,SSD,4.4,15.6,8,Amazon
HP,TPN-Q287,AMD,Windows 11 Pro,Ryzen 7,21,575.1,SSD,4.4,15.6,16,Amazon
Dell,Latitude,Intel,Windows 11 Pro,Intel Core i5,10,1296.71,SSD,4.0,15.6,64,Amazon
Apple,Macbook pro,Intel,Mac OS,Intel Core i9,531,573.99,SSD,4.4,16.0,16,Amazon
Dell,nspiron 15 3530,Intel,Windows 11 Pro,Core i7 Family,42,709.99,SSD,3.8,15.6,32,Amazon
HP,HP Envy,Intel,Windows 11 Home,Core i7,44,670.0,SSD,4.4,14.0,16,Amazon
SGIN,SGIN-M15N,Intel,11,Celeron,18,169.98,SSD,4.5,15.6,4,Amazon
HP,HP 15 Laptop,Intel,Windows 11,Pentium,75,241.5,SSD,4.5,15.6,16,Amazon
Dell,Dell inspiron,Intel,Windows 11 Pro,Core i5,62,649.99,SSD,4.4,15.6,32,Amazon
HP,HP Notebook,Intel,Windows 11 Home,Core i5,442,378.0,SSD,4.3,15.0,8,Amazon
HP,HP Stream,Intel,Windows 11 S,Celeron,928,309.0,EMMC,4.2,14.0,16,Amazon
Apple,MacBook Air,Intel,Catalina,Core i3,282,379.0,SSD,4.3,13.3,8,Amazon
HP,"HP 15"" Laptop",Intel,Windows 11,Pentium,878,207.26,SSD,4.5,15.0,8,Amazon
HP,HP Essential,Intel,Windows 11 Home,Pentium N5000,0,379.0,SSD,4.5,14.0,8,Amazon
Dell,Latitude,Intel,Windows 11 Pro,Intel Core i7,38,1299.0,SSD,4.0,15.6,16,Amazon
SAIWAN,A1407N,Intel,Windows 10,Celeron N3350,0,149.0,EMMC,4.6,14.1,6,Amazon
ZHAOHUIXIN,PC1068,Alwinner,Android,A13,1,119.99,EMMC,4.4,10.1,2,Amazon
jumper,EZbook S5,Intel,Windows 11,Celeron,12,409.99,SSD,4.5,14.0,12,Amazon
Dell,Latitude,Intel,Windows 11 Pro,Intel Core i5,24,959.0,SSD,4.1,15.6,16,Amazon
acer,Acer Laptop,Intel,Chrome OS,Celeron,94,187.4,EMMC,4.4,15.6,4,Amazon
HP,HP,Intel,Windows 11,Pentium,22,369.99,SSD,4.5,14.0,16,Amazon
Apple,MacBook Air,Apple,Mac OS,Apple M2,85,849.5,SSD,4.3,15.0,8,Amazon
HP,TPN-I140_799**AV,AMD,Windows 11 Home,Ryzen 5,146,626.88,SSD,4.4,17.3,32,Amazon
Dell,Dell Latitude 7490,Intel,Windows 10 Pro,Core i5,527,200.0,SSD,4.5,14.1,16,Amazon
Apple,Macbook Air,Intel,macOS 10.12 Sierra,Core i5-5250U,600,149.99,SSD,4.4,13.3,8,Amazon
Lenovo,IdeaPad 3i,Intel,Windows 11 Pro,Intel Core i3,14,799.99,SSD,3.4,15.6,24,Amazon
HP,laptop,Intel,Windows 11,Intel Pentium 4,195,399.0,SSD,4.3,15.6,16,Amazon
HP,TPN-I139_320M3AV,Intel,Windows 11 Home,Core i3 Family,180,360.0,SSD,4.3,17.3,8,Amazon
Dell,"Dell 11"" Chromebook",Intel,Chrome OS,Celeron,864,66.99,SSD,4.4,11.0,4,Amazon
Dell,Latitude,Intel,Windows 10 Pro,Intel Core i5,0,749.0,SSD,4.3,14.0,32,Amazon
TPV,AceBook,Intel,Windows 11 Pro,Core i5,13,309.99,SSD,4.5,15.6,16,Amazon
HP,TPN-Q284_632**AV,Intel,Windows 11 Home,Pentium,606,308.98,SSD,4.2,15.6,16,Amazon
ASUS,VivoBook 16,AMD,Windows 11 Home,Ryzen 7,68,499.99,SSD,4.4,16.0,16,Amazon
HP,HP 14inch Chromebook,AMD,Chrome OS,AMD A4,626,79.95,SSD,4.0,14.0,4,Amazon
HP,Essential,Intel,Windows 11 S,Celeron,18,399.99,SSD,4.3,15.6,32,Amazon
Dell,Inspiron,Intel,Windows 11 Pro,Core i5,9,679.0,SSD,4.4,15.6,64,Amazon
HP,hp eg2000,Intel,Windows 11,Core i7 Family,124,779.99,SSD,4.5,15.6,32,Amazon
HP,2024 HP 17 Pavilion Laptop,Intel,Windows 11 Pro,Core i3,56,549.0,SSD,4.4,17.3,32,Amazon
Lenovo,Laptop,Intel,Windows 11 Home,Pentium,117,360.99,SSD,4.5,15.6,16,Amazon
Dell,Dell 11.6inch Chromebook,Intel,Chrome OS,Celeron,380,68.0,SSD,4.5,11.6,4,Amazon
ASUS,2026 Flagship ASUS Vivobook 14,Intel,Windows 11 Pro,Core i3,0,399.0,SSD,4.5,14.0,16,Amazon
Dell,Latitude,Intel,Windows 11 Pro,Intel Core i7,1,729.0,SSD,1.0,14.0,64,Amazon
Oemgenuine,ThinkPad E15 Gen 2,AMD,Windows 10 Pro,Ryzen 5 4500U,2,829.95,SSD,4.4,15.6,16,Amazon
ZHAOHUIXIN,PC1068,Alwinner,Android,A13,1,119.99,EMMC,4.4,10.1,2,Amazon
HP,Elitebook,Intel,Windows 11 Pro,Intel Core i7,5,1169.0,SSD,4.4,16.0,64,Amazon
TPV,AceBook,Intel,Windows 11 Pro,Core i5,13,309.99,SSD,4.5,15.6,16,Amazon
HP,Chromebook 15,Intel,Chrome OS,Pentium,59,299.98,EMMC,4.6,15.6,8,Amazon
HP,TPN-I139_4V788AV,Intel,Windows 11 Home,Core i7 Family,364,919.59,SSD,4.1,17.3,64,Amazon
Apple,MacBook Air,Apple,macOs Ventura,Unknown,460,769.0,SSD,4.3,13.6,8,Amazon
HP,ProBook 450 G10,Intel,Windows 11 Pro,Core i7,4,769.0,SSD,4.5,15.6,16,Amazon
Apple,MacBook Pro,Intel,macOS 10.12 Sierra,Core i5,623,379.0,SSD,4.3,13.3,8,Amazon
Lenovo,Legion 5i,Intel,Windows 11 Home,Core i7,40,1551.5,SSD,4.0,16.0,32,Amazon
Lenovo,ThinkPad E16,AMD,Windows 11 Pro,AMD Ryzen 7,61,848.0,SSD,4.3,16.0,40,Amazon
Apple,MacBook Pro,Intel,Mac OS,Core i5,62,429.0,SSD,4.5,13.3,16,Amazon
Lenovo,Lenovo IdeaPad 1 Laptop,Intel,Windows 11 S,Celeron,33,174.99,EMMC,4.5,14.0,4,Amazon
ASUS,5Z8N,Intel,Windows 11 Home,Core i3 Family,12,311.85,SSD,4.2,14.0,16,Amazon
Dell,Inspiron 15 3511,Intel,Windows 11 Home,Core i3 Family,391,343.99,SSD,4.5,15.6,8,Amazon
Lenovo,Lenovo Thinkpad,AMD,Windows 10 Pro,AMD Ryzen 7,0,479.0,SSD,4.4,15.6,16,Amazon
Lenovo,ThinkPad,Intel,Windows 11 Pro,Intel Core i5,14,1269.0,SSD,4.0,16.0,40,Amazon
Dell,Latitude,Intel,Windows 10 Pro,Intel Core i5,0,749.0,SSD,4.3,14.0,32,Amazon
HP,HP Chromebook x360 14b-cd0010nr,Intel,Chrome OS,Core i3,577,469.99,SSD,4.4,14.0,8,Amazon
ASUS,Vivobook Go,Intel,Windows 11 Home,Celeron,704,219.99,SSD,4.5,11.6,4,Amazon
ACEMAGIC,AX15,Intel,window11,Intel Mobile CPU,17,359.98,SSD,4.3,15.6,16,Amazon
Apple,MacBook Pro,Intel,Mac OS,Core i7,314,341.0,SSD,4.5,15.0,16,Amazon
MSI,Thin 15 B12UCX-2041US,Intel,Windows 11 Home,Intel Core i5,873,595.0,SSD,4.4,15.6,16,Amazon
Apple,MacBook Air,Intel,Mac OS,Core i5,208,179.0,SSD,4.4,13.3,4,Amazon
HP,HP Stream,Intel,Windows 11 S,Celeron N,210,296.65,EMMC,4.6,14.0,16,Amazon
acer,Chromebook Spin 311,Intel,Chrome OS,Celeron,242,229.0,SSD,4.5,11.6,4,Amazon
Lenovo,Legion Pro 7i Gen 9,Intel,Windows 11 Pro,Intel Core i9,8,2550.0,SSD,4.3,16.0,32,Amazon
Zuleisy,VB16,Intel,Windows 11,Intel Mobile CPU,2,399.99,SSD,4.5,16.0,16,Amazon
HP,TPN-C164,Intel,Windows 11 Pro,Intel Mobile CPU,0,1492.91,SSD,4.0,17.3,32,Amazon
acer,Aspire,Intel,Windows 11 Pro,Core i5,0,579.99,SSD,4.4,15.6,8,Amazon
ZHAOHUIXIN,PC1068,Alwinner,Android,1.8 GHz a13,1,119.99,EMMC,4.5,10.1,2,Amazon
HP,Elitebook,Intel,Windows 11 Pro,Intel Core i7,5,1229.0,SSD,4.0,16.0,64,Amazon
Lenovo,ThinkPad,Intel,Windows 11 Pro,Intel Core i5,14,1049.0,SSD,4.0,16.0,24,Amazon
Apple,MacBook Air,Intel,Mac OS,Core i5,208,179.0,SSD,4.4,13.3,4,Amazon
Dell,3180 chromebook,Intel,Chrome OS,Celeron,300,83.59,SSD,4.4,11.6,4,Amazon
Apple,MacBook Pro,Intel,Mac OS,Core i7,314,341.0,SSD,4.5,15.0,16,Amazon
HP,HP Pro,Intel,Windows 11,Celeron,329,169.99,SSD,4.5,14.0,4,Amazon
HP,TPN-Q245,Intel,Windows 11 Pro,Core i7 Family,71,812.0,SSD,4.4,15.6,32,Amazon
HP,HP 14inch laptop,Intel,Chrome OS,Core i3,81,379.0,SSD,4.3,15.6,16,Amazon
HP,HP,Intel,Windows 11,Pentium,13,299.99,SSD,4.6,15.6,16,Amazon
Apple,MK193LL/A,Apple,Mac OS,Apple M1,577,1294.95,SSD,4.4,16.0,16,Amazon
HP,HP,Intel,Windows 11 Home,Pentium,52,579.0,SSD,4.4,17.3,16,Amazon
HP,Essential,Intel,Windows 11 Pro,Core i5,97,569.99,SSD,4.1,15.6,32,Amazon
TPV,AceBook,Intel,Windows 11 Pro,Core i5,13,309.99,SSD,4.5,15.6,16,Amazon
Zuleisy,VB16,Intel,Windows 11,Intel Mobile CPU,2,399.99,SSD,4.5,16.0,16,Amazon
acer,Aspire,Intel,Windows 11 Pro,Core i5,0,579.99,SSD,4.4,15.6,8,Amazon
Apple,MacBook Air,Intel,OS X 10.10 Yosemite,Core i5,574,324.99,SSD,4.3,13.3,8,Amazon
Dell,XPS 13 9315,Intel,Windows 11 Pro,Core i7,7,1399.0,SSD,4.4,13.4,16,Amazon
Apple,MacBook Air,Apple,Mac OS,Unknown,488,739.99,SSD,4.5,13.6,8,Amazon
ASUS,G834JZR-XS96,Intel,Windows 11 Pro,Core i9,144,2781.05,SSD,4.0,18.0,32,Amazon
ACEMAGIC,AX15,Intel,window11,Intel Mobile CPU,17,359.98,SSD,4.3,15.6,16,Amazon
HP,HP Chromebook,AMD,Chrome OS,AMD A Series,475,64.0,SSD,4.4,16.0,4,Amazon
Lenovo,500w Gen 3,Intel,Windows 11 Home,Core m3-8100Y,174,299.99,SSD,4.6,11.6,8,Amazon
HP,HP Spectre x360,Intel,Chrome OS,Celeron N4020,562,149.99,SSD,4.5,14.0,4,Amazon
HP,"HP 15.6""",Intel,Windows 11,Intel Core i5,201,464.99,SSD,4.4,15.6,16,Amazon
Dell,Dell latitude 5420 Laptop,Intel,Windows 10 Pro,Core i7,32,359.78,SSD,4.3,14.0,16,Amazon
Lenovo,ThinkPad,Intel,Windows 11 Pro,Intel Core i5,22,899.0,SSD,4.3,16.0,24,Amazon
Dell,Latitude,Intel,Windows 10 Pro,Intel Core i5,0,749.0,SSD,4.3,14.0,32,Amazon
Dell,Dell Inspiron,AMD,Windows 11 Pro,1.2GHz Cortex A8 Processor,0,649.0,SSD,4.4,15.6,36,Amazon
ZHAOHUIXIN,PC1068,Alwinner,Android,1.8 GHz a13,1,119.99,EMMC,4.5,10.1,2,Amazon
Lenovo,ThinkBook 16 G4+ IAP,Intel,Windows 11 Pro,Intel Mobile CPU,1,1159.0,SSD,4.4,16.0,64,Amazon
HP,Elitebook,Intel,Windows 11 Pro,Intel Core i7,5,1079.0,SSD,4.0,16.0,32,Amazon
acer,Aspire,AMD,Windows 11 Pro,Ryzen 5,518,689.0,SSD,4.4,15.6,32,Amazon
acer,Acer Chromebook,MediaTek,Chrome OS,MediaTek MT8183,12,89.99,SSD,4.6,11.6,4,Amazon
ASUS,Asus,Intel,Windows 10,Celeron,651,150.88,EMMC,4.5,14.0,4,Amazon
MSI,MSI GF63,Intel,Windows 11,Core i5 Family,134,635.0,SSD,4.4,15.6,16,Amazon
Microsoft,Surface Laptop Go 3,Intel,Windows 11 Home,Core i5-1235U,104,749.0,SSD,4.5,12.45,8,Amazon
ApoloSign,NJP1561P,Intel,Windows 11 Home,Celeron N,32,649.99,SSD,4.4,15.6,12,Amazon
Dell,Dell G Series 16 7630 Laptop,Intel,Windows 11 Home,Core i9,11,1535.3,SSD,4.0,16.0,16,Amazon
Dell,dell 5480,Intel,Windows 10 Pro,Intel Core i5,600,155.0,SSD,4.5,14.0,8,Amazon
HP,14-dq0070nr,Intel,Windows 11 S,Celeron N4020,859,240.99,EMMC,4.5,14.0,4,Amazon
Dell,DELL XPS 15 9530,Intel,Windows 11 Pro,Core i7,15,1576.75,SSD,4.4,15.6,32,Amazon
Apple,MacBook Pro,Intel,macOS 10.13 High Sierra,Core i7,149,398.99,SSD,4.4,15.0,16,Amazon
HP,TPN-Q287,AMD,Windows 11 Pro,Ryzen 7,21,529.0,SSD,4.4,15.6,16,Amazon
Dell,Latitude,Intel,Windows 11 Pro,Intel Core i5,24,849.0,SSD,4.3,15.6,16,Amazon
Dell,Latitude,Intel,Windows 11 Pro,Intel Core i7,2,729.0,SSD,5.0,14.0,32,Amazon
Lenovo,Ideapad 3i,Intel,Windows 11 Pro,Core i5,600,422.0,SSD,4.5,15.6,8,Amazon
Apple,MacBook Pro,Apple,Mac OS,Others,69,1639.99,SSD,4.4,16.2,32,Amazon
ASUS,FX607JV-ES73,Intel,Windows 11 Home,Core i7,1,1029.99,SSD,4.0,16.0,16,Amazon
Dell,Latitude,Intel,Windows 11 Pro,Intel Core i7,38,1189.0,SSD,4.0,15.6,32,Amazon
HP,G9,AMD,Windows 11,Athlon,42,499.99,SSD,4.4,15.6,16,Amazon
ACEMAGIC,AX16PRO,AMD,Windows 11,AMD Ryzen 7,68,599.99,SSD,4.3,16.1,16,Amazon
acer,Chromebook 516 GE,Intel,Chrome OS,Core i5-1240P,36,580.67,SSD,4.4,16.0,16,Amazon
HP,TPN-Q278_599J4AV,Intel,Windows 11 Home,Core i5 Family,8,672.99,SSD,4.4,15.6,16,Amazon
Lenovo,IdeaPad Flex 5i,Intel,Chrome OS,Core i3 Family,211,499.98,SSD,4.4,14.0,8,Amazon
ASUS,G814JIR-XS96,Intel,Windows 11 Pro,Core i9,141,2212.99,SSD,4.0,18.0,32,Amazon
Lenovo,ThinkBook 15 Gen 4,Intel,Windows 11 Pro,Core i7,18,635.0,SSD,4.4,15.6,16,Amazon
Lenovo,ThinkPad,Intel,Windows 11 Pro,Intel Core i5,14,1049.0,SSD,4.0,16.0,24,Amazon
Lenovo,ThinkPad,AMD,Windows 11 Pro,Ryzen 5,11,869.0,SSD,4.3,16.0,24,Amazon
Oemgenuine,ThinkPad E15 Gen 2,AMD,Windows 10 Pro,Ryzen 5 4500U,2,829.95,SSD,4.4,15.6,16,Amazon
ZHAOHUIXIN,PC1068,Alwinner,Android,1.8 GHz a13,1,119.99,EMMC,4.5,10.1,2,Amazon
HP,Elitebook,Intel,Windows 11 Pro,Intel Core i7,5,1229.0,SSD,4.0,16.0,64,Amazon
Lenovo,ThinkBook 16 G4+ IAP,Intel,Windows 11 Pro,Intel Mobile CPU,0,1039.0,SSD,4.4,16.0,64,Amazon
ist computers,V14 Laptop,AMD,Windows 11 Pro,Ryzen 5,11,449.99,SSD,4.5,14.0,16,Amazon
Dell,Dell Inspiron 15 3525 Laptop,AMD,Windows 11 Home,Ryzen 5,232,448.0,SSD,4.2,15.6,16,Amazon
HP,HP 15.6 inch Laptop PC,Intel,Windows 11 Home,Core i5,281,450.0,SSD,4.4,15.6,8,Amazon
